,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.56,0.59,0.47,0.97
jajuk.csv,0.98,0.68,0.6,0.68
vapor.csv,0.38,0.3,0.9,0.32
zorannt.csv,0.29,0.89,0.27,0.37
