,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.69,0.09,1.0,0.64
emftriple.csv,0.12,0.91,0.0,0.25
fluent-nhibernate.csv,0.8,0.0,1.0,0.39
gpsmid.csv,0.82,0.91,0.94,0.74
