,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.21,0.15,0.23,0.25,0.17,0.07,0.25,0.15,0.07,0.05
flylegacy.csv,0.74,0.5,0.32,0.42,0.59,0.73,0.95,0.85,0.83,0.37
jguard.csv,0.77,0.35,0.64,0.7,0.61,0.32,0.95,0.38,0.9,0.42
m-a-d-n-e-s-s.csv,0.12,0.0,0.27,0.11,0.07,0.07,0.0,0.0,0.17,0.11
mob-sen-plat.csv,0.72,0.3,0.77,0.43,0.59,0.8,0.41,0.54,0.6,0.39
raygina.csv,0.3,0.05,0.77,0.56,0.27,0.36,0.49,0.08,0.43,0.42
st-filteredstatistics.csv,0.95,0.05,0.77,0.76,0.39,0.27,0.89,0.15,0.72,0.76
upp-mirror.csv,0.3,0.0,0.59,0.19,0.37,0.27,0.21,0.46,0.33,0.66
wishmaster.csv,0.19,0.25,0.55,0.29,0.46,0.61,0.33,0.31,0.2,0.34
yarp.csv,0.26,0.05,0.68,0.48,0.05,0.77,0.43,0.38,0.55,0.37
