,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.05,0.21,0.42,0.06,0.0,0.27,0.75,0.43,0.54,0.0
critterding.csv,0.56,0.67,0.69,0.38,0.31,0.57,0.66,0.55,0.65,0.69
enlightenment.csv,0.65,0.0,0.0,0.65,0.0,0.27,0.0,0.59,0.54,0.63
exordium.csv,0.02,0.45,0.83,0.04,0.66,0.68,0.06,0.46,0.28,0.4
google-caja.csv,0.59,0.57,0.62,0.52,0.57,0.83,0.67,0.21,0.75,0.68
itext.csv,0.63,0.42,0.62,0.58,0.68,0.0,0.72,0.5,0.71,0.75
lockss.csv,0.49,0.25,0.65,0.54,0.61,0.64,0.76,0.65,0.54,0.68
modplug.csv,0.39,0.46,0.72,0.43,0.5,0.57,0.24,0.09,0.74,0.77
reactos-mirror.csv,0.63,0.67,0.54,0.55,0.56,0.7,0.0,0.29,0.68,0.74
yafdotnet.csv,0.39,0.5,0.6,0.31,0.63,0.65,0.3,0.72,0.52,0.72
