,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.26,0.45,0.07,0.4,0.3,0.12,0.28,0.48,0.0,0.15,0.33,0.63,0.06
bacula.csv,0.51,0.64,0.08,0.45,0.51,0.2,0.33,0.74,0.74,0.37,0.42,0.26,0.15
elmo.csv,0.29,0.67,0.14,0.54,0.56,0.33,0.23,0.44,0.67,0.24,0.58,0.17,0.16
jajuk.csv,0.47,0.52,0.08,0.44,0.81,0.21,0.31,0.68,0.73,0.39,0.59,0.32,0.15
ktc.csv,0.71,0.69,0.1,0.56,0.71,0.28,0.36,0.8,0.75,0.54,0.71,0.21,0.18
neoengine.csv,0.5,0.6,0.07,0.6,0.65,0.21,0.29,0.77,0.68,0.32,0.51,0.26,0.14
omseek.csv,0.77,0.55,0.0,0.61,0.82,0.57,0.33,1.0,0.8,0.78,0.68,0.0,0.28
pcgen.csv,0.44,0.54,0.09,0.38,0.67,0.15,0.26,0.69,0.67,0.29,0.63,0.26,0.13
rosegarden.csv,0.57,0.66,0.1,0.42,0.61,0.2,0.29,0.8,0.74,0.55,0.47,0.26,0.15
selenium.csv,0.61,0.69,0.1,0.52,0.78,0.26,0.38,0.85,0.74,0.43,0.64,0.28,0.23
vapor.csv,0.0,0.53,0.08,0.62,0.67,0.17,0.52,0.62,0.68,0.8,0.0,1.0,0.16
zorannt.csv,0.48,0.58,0.1,0.72,0.69,0.36,0.29,0.79,0.72,0.36,0.7,0.15,0.15
zscreen.csv,0.5,0.55,0.09,0.4,0.49,0.14,0.36,0.92,0.81,0.34,0.42,0.26,0.14
