,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.55,1.0,0.88,0.5,0.64,0.61,0.74,1.0,0.91,0.29,0.54,0.82,0.77,0.85,0.7,0.71,0.82,0.73,0.58
decidr.csv,0.3,0.8,0.73,0.74,0.47,0.97,0.72,0.98,1.0,0.93,0.72,0.55,0.96,0.92,0.64,0.76,1.0,0.95,0.58
doomlegacy.csv,0.82,0.0,1.0,0.37,0.85,0.86,0.97,0.29,0.31,0.93,0.81,0.88,1.0,0.92,0.78,0.35,1.0,0.7,0.78
elmo.csv,0.81,0.6,0.71,0.72,0.86,0.78,0.85,0.84,0.7,0.93,0.75,0.97,0.9,0.92,0.74,0.88,0.86,0.83,0.58
gpac.csv,0.08,1.0,0.92,0.96,0.3,0.78,0.96,0.59,0.99,1.0,0.93,0.7,1.0,0.77,0.39,0.82,1.0,0.74,0.29
illumination.csv,0.0,0.6,0.1,0.28,0.0,0.28,0.07,0.0,0.01,0.0,0.12,0.33,0.21,0.69,0.16,0.76,0.59,0.15,0.0
img-browse-sort.csv,0.7,0.2,0.53,0.54,0.61,0.58,0.71,0.62,0.42,0.86,0.75,0.55,0.83,0.77,0.25,0.47,0.23,0.68,0.49
ktc.csv,0.74,0.4,0.71,0.09,0.62,0.36,0.66,0.61,0.41,0.5,0.21,0.61,0.62,0.92,0.46,0.35,0.55,0.62,0.53
neoengine.csv,0.54,1.0,0.69,0.57,0.51,0.81,0.8,1.0,0.98,0.86,0.34,0.79,0.69,0.92,0.59,0.82,0.68,0.74,0.53
nicepress.csv,0.63,1.0,0.96,0.52,0.77,0.81,0.81,0.91,0.97,0.57,0.6,0.48,0.9,0.77,0.26,0.53,0.86,0.55,0.69
omseek.csv,0.3,0.0,0.12,0.0,0.18,0.08,0.35,0.0,0.12,0.57,0.27,0.64,0.56,0.54,0.06,0.18,0.23,0.29,0.56
pi-qmc.csv,0.4,0.6,0.76,0.67,0.4,0.56,0.47,0.89,0.96,0.5,0.4,0.76,0.52,0.85,0.64,0.76,0.86,0.52,0.51
rosegarden.csv,0.85,0.6,0.95,0.37,0.71,0.67,0.71,0.66,0.4,0.36,0.37,0.82,0.9,0.92,0.85,0.06,0.77,0.71,0.82
sigil.csv,0.71,0.2,0.54,0.43,0.59,0.44,0.6,0.12,0.16,1.0,0.63,0.52,0.85,0.62,0.18,0.18,0.41,0.44,0.42
smarttag.csv,0.92,0.8,0.95,0.72,0.77,0.67,0.71,0.77,0.59,0.5,0.84,0.82,0.56,0.62,0.91,0.88,0.64,0.77,0.93
sylpheed-claws.csv,0.9,1.0,0.79,0.89,0.83,1.0,0.89,0.66,0.71,0.93,0.97,0.94,1.0,0.92,0.95,1.0,0.91,0.91,0.84
tango-cs.csv,0.81,0.8,0.71,0.96,0.62,0.94,0.72,0.86,0.85,1.0,0.88,0.79,0.62,0.54,0.74,0.82,0.73,0.74,0.62
xemeiah.csv,0.62,0.2,0.9,0.37,0.82,0.94,0.94,0.86,0.96,0.93,0.79,0.58,0.75,0.92,0.56,0.0,0.77,0.61,0.91
zscreen.csv,0.81,0.2,0.68,0.65,0.67,0.81,0.86,0.32,0.32,0.79,0.79,0.76,0.83,0.77,0.51,0.53,0.36,0.89,0.69
