,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.21,0.49,0.34,0.21,0.23,0.2,0.24,0.32,0.33,0.13,0.19,0.24,0.3,0.24,0.24,0.24,0.37,0.25,0.18
decidr.csv,0.21,0.21,0.24,0.29,0.31,0.4,0.21,0.31,0.42,0.36,0.35,0.31,0.39,0.27,0.25,0.29,0.41,0.35,0.25
doomlegacy.csv,0.25,0.38,0.44,0.19,0.31,0.34,0.35,0.17,0.15,0.4,0.34,0.33,0.44,0.27,0.25,0.24,0.41,0.26,0.32
elmo.csv,0.3,0.19,0.23,0.33,0.35,0.36,0.32,0.29,0.23,0.38,0.31,0.39,0.37,0.29,0.26,0.3,0.4,0.29,0.26
gpac.csv,0.32,0.5,0.4,0.37,0.31,0.37,0.35,0.25,0.44,0.38,0.43,0.35,0.44,0.25,0.31,0.33,0.41,0.34,0.21
illumination.csv,0.36,0.47,0.37,0.25,0.4,0.16,0.31,0.32,0.43,0.28,0.37,0.28,0.28,0.24,0.25,0.18,0.31,0.21,0.35
img-browse-sort.csv,0.22,0.14,0.21,0.21,0.24,0.25,0.27,0.24,0.2,0.3,0.3,0.18,0.3,0.2,0.18,0.24,0.13,0.26,0.22
ktc.csv,0.18,0.1,0.21,0.27,0.17,0.13,0.23,0.21,0.15,0.21,0.13,0.2,0.19,0.24,0.18,0.17,0.14,0.21,0.18
neoengine.csv,0.21,0.49,0.2,0.23,0.23,0.3,0.25,0.32,0.43,0.3,0.17,0.26,0.22,0.25,0.22,0.27,0.19,0.25,0.2
nicepress.csv,0.23,0.44,0.43,0.27,0.24,0.25,0.27,0.32,0.43,0.3,0.19,0.2,0.43,0.25,0.16,0.24,0.41,0.24,0.25
omseek.csv,0.15,0.5,0.36,0.37,0.33,0.3,0.25,0.32,0.34,0.28,0.16,0.17,0.2,0.25,0.33,0.27,0.21,0.17,0.23
pi-qmc.csv,0.24,0.47,0.23,0.25,0.23,0.22,0.19,0.29,0.42,0.23,0.19,0.32,0.17,0.27,0.22,0.27,0.18,0.26,0.23
rosegarden.csv,0.22,0.19,0.4,0.16,0.2,0.22,0.28,0.23,0.15,0.19,0.2,0.28,0.36,0.25,0.25,0.15,0.35,0.26,0.3
sigil.csv,0.19,0.11,0.15,0.18,0.19,0.15,0.24,0.27,0.29,0.34,0.23,0.14,0.26,0.2,0.19,0.16,0.12,0.17,0.23
smarttag.csv,0.3,0.33,0.42,0.26,0.27,0.22,0.28,0.23,0.18,0.19,0.32,0.35,0.17,0.22,0.32,0.26,0.15,0.25,0.31
sylpheed-claws.csv,0.29,0.5,0.27,0.33,0.33,0.42,0.29,0.21,0.22,0.34,0.43,0.4,0.42,0.27,0.32,0.32,0.41,0.33,0.25
tango-cs.csv,0.32,0.18,0.24,0.37,0.33,0.41,0.25,0.28,0.39,0.4,0.35,0.28,0.21,0.25,0.26,0.3,0.22,0.24,0.21
xemeiah.csv,0.2,0.1,0.34,0.16,0.29,0.38,0.33,0.26,0.35,0.36,0.29,0.15,0.25,0.27,0.2,0.26,0.19,0.24,0.31
zscreen.csv,0.26,0.11,0.24,0.23,0.27,0.36,0.34,0.21,0.18,0.38,0.36,0.26,0.29,0.27,0.23,0.28,0.13,0.31,0.3
