,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.93,0.72,0.63,0.52,0.76,0.54,0.71
encog-java.csv,0.68,0.06,0.03,0.23,0.33,0.23,0.04
h2database.csv,0.61,0.7,0.11,0.66,0.19,0.23,0.08
haphazard.csv,0.43,0.17,0.69,0.35,0.19,0.54,0.34
jaql.csv,0.82,0.72,0.34,0.62,0.36,0.23,0.31
raven-monitoring.csv,0.3,0.34,0.66,0.36,0.05,0.77,0.2
v8.csv,0.09,0.49,0.77,0.59,0.86,0.54,0.81
