,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.48,0.34,0.48,0.99,0.52,0.12,0.31,0.49,0.55,0.43,0.5,0.55
gmerlin.csv,0.44,0.29,0.27,0.23,0.22,0.11,0.97,0.24,0.31,0.36,0.23,0.07
google-gears.csv,0.5,0.43,0.65,0.74,0.48,0.13,0.49,1.0,0.72,0.46,0.53,0.47
gstreamer.csv,0.43,0.37,0.6,0.63,0.6,0.11,0.36,0.67,0.98,0.43,0.53,0.68
lportal.csv,0.38,0.2,0.45,0.2,0.23,0.87,0.44,0.4,0.38,0.33,0.22,0.17
metacosm.csv,0.41,0.48,0.47,0.29,0.39,0.11,0.2,0.35,0.5,0.19,0.31,0.96
mplayer-ce.csv,0.48,0.23,0.63,0.72,0.5,0.07,0.47,0.75,0.65,0.54,0.97,0.55
openmeetings.csv,0.47,1.0,0.43,0.35,0.43,0.17,0.27,0.42,0.4,0.41,0.48,0.65
qgis.csv,0.4,0.33,0.96,0.33,0.44,0.09,0.3,0.56,0.52,0.54,0.3,0.64
skia.csv,0.5,0.23,0.27,0.37,0.35,0.11,0.4,0.28,0.43,0.98,0.16,0.24
wxcrp.csv,0.97,0.29,0.51,0.3,0.48,0.07,0.31,0.45,0.4,0.44,0.49,0.55
yafdotnet.csv,0.49,0.34,0.63,0.66,0.98,0.09,0.4,0.76,0.55,0.42,0.53,0.69
