,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.55,0.73,0.41,0.98,0.57,0.69,0.35,0.4,0.47,0.52,0.54,0.56
gmerlin.csv,0.44,0.37,0.2,0.16,0.17,0.49,0.95,0.17,0.23,0.34,0.17,0.05
google-gears.csv,0.63,0.79,0.67,0.61,0.5,0.6,0.63,0.99,0.7,0.56,0.54,0.47
gstreamer.csv,0.56,0.71,0.61,0.58,0.66,0.67,0.44,0.58,0.97,0.5,0.56,0.71
lportal.csv,0.49,0.27,0.42,0.14,0.19,0.82,0.56,0.32,0.34,0.42,0.18,0.17
metacosm.csv,0.4,0.37,0.4,0.21,0.31,0.46,0.19,0.26,0.4,0.16,0.26,0.96
mplayer-ce.csv,0.49,0.13,0.34,0.5,0.47,0.32,0.47,0.41,0.37,0.61,0.96,0.43
openmeetings.csv,0.49,1.0,0.35,0.27,0.37,0.59,0.26,0.31,0.31,0.4,0.47,0.65
qgis.csv,0.46,0.41,0.95,0.25,0.41,0.56,0.26,0.47,0.45,0.64,0.24,0.64
skia.csv,0.47,0.44,0.22,0.29,0.31,0.36,0.39,0.19,0.35,0.97,0.12,0.18
wxcrp.csv,0.95,0.63,0.42,0.23,0.48,0.52,0.29,0.35,0.31,0.47,0.5,0.55
yafdotnet.csv,0.67,0.71,0.46,0.61,0.98,0.61,0.51,0.58,0.51,0.53,0.56,0.73
