,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.54,0.43,0.66,0.47,0.52,0.51,0.55,0.53,0.55,0.45,0.41,0.46
gmerlin.csv,0.57,0.85,0.95,0.97,0.95,0.81,0.63,0.95,0.98,0.69,0.99,0.67
google-gears.csv,0.43,0.44,0.45,0.42,0.47,0.49,0.39,0.49,0.45,0.47,0.55,0.54
gstreamer.csv,0.5,0.46,0.45,0.5,0.4,0.48,0.45,0.51,0.45,0.54,0.4,0.38
lportal.csv,0.71,0.96,0.62,0.97,0.97,0.99,0.65,0.87,0.73,0.61,0.99,0.95
metacosm.csv,0.7,0.86,0.69,0.97,0.84,0.65,0.88,0.7,0.64,0.89,0.9,0.52
mplayer-ce.csv,0.46,0.39,0.42,0.44,0.42,0.41,0.41,0.54,0.45,0.45,0.6,0.48
openmeetings.csv,0.59,0.95,0.81,0.82,0.78,0.73,0.79,0.68,0.76,0.69,0.56,0.52
qgis.csv,0.56,0.89,0.55,0.91,0.71,0.45,0.87,0.65,0.54,0.48,0.91,0.46
skia.csv,0.67,0.72,0.82,0.8,0.83,0.75,0.65,0.9,0.66,0.64,0.98,0.86
wxcrp.csv,0.66,0.66,0.68,0.93,0.71,0.5,0.8,0.68,0.78,0.59,0.43,0.56
yafdotnet.csv,0.45,0.41,0.44,0.47,0.53,0.46,0.55,0.5,0.54,0.52,0.47,0.38
