,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.32,1.0,0.53,1.0,0.11,0.45,0.81,0.14,0.08,0.23,0.64,0.22,0.33
flylinkdc.csv,0.54,0.82,0.29,0.52,0.11,0.49,0.98,0.08,0.07,0.37,0.57,0.21,0.38
fw4spl.csv,0.29,0.8,0.28,0.62,0.26,0.41,0.91,0.11,0.09,0.37,0.67,0.21,0.33
grisbi.csv,0.28,0.83,0.28,0.54,0.13,0.51,0.97,0.13,0.07,0.33,0.49,0.29,0.39
mesa3d.csv,0.36,0.82,0.34,0.53,0.14,0.52,0.92,0.12,0.08,0.34,0.54,0.32,0.36
nuttx.csv,0.4,0.87,0.44,0.62,0.19,0.57,0.94,0.17,0.08,0.44,0.5,0.31,0.35
panda3d.csv,0.26,0.82,0.3,0.56,0.16,0.46,1.0,0.27,0.07,0.43,0.65,0.19,0.34
proftp.csv,0.42,0.5,0.5,0.62,0.29,0.71,0.96,0.0,0.12,0.46,0.5,0.0,0.53
qmmp.csv,0.33,0.82,0.34,0.45,0.14,0.55,0.91,0.09,0.05,0.3,0.77,0.19,0.28
skia.csv,0.35,0.77,0.39,0.59,0.19,0.57,0.93,0.25,0.06,0.37,0.54,0.34,0.56
tart.csv,0.29,0.67,0.23,0.57,0.14,0.49,0.9,0.11,0.17,0.39,0.56,0.22,0.36
tcvp.csv,0.12,1.0,0.5,0.5,0.12,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.08
utgb.csv,0.41,0.82,0.5,0.73,0.19,0.48,0.93,0.17,0.1,0.5,0.7,0.3,0.42
