,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.41,0.0,0.62,0.67,0.89,0.55,0.39,0.5,0.45,0.75,0.39,0.49,0.5
flylinkdc.csv,0.56,0.59,0.55,0.44,0.53,0.38,0.36,0.54,0.43,0.56,0.58,0.49,0.49
fw4spl.csv,0.46,0.65,0.58,0.46,0.61,0.5,0.4,0.41,0.52,0.54,0.92,0.47,0.37
grisbi.csv,0.39,0.53,0.53,0.36,0.41,0.35,0.28,0.34,0.34,0.48,0.43,0.39,0.33
mesa3d.csv,0.95,0.97,0.53,0.87,0.43,0.39,0.71,0.33,0.54,0.55,0.51,0.49,0.5
nuttx.csv,0.5,0.71,0.62,0.48,0.66,0.38,0.76,0.44,0.43,0.5,0.52,0.98,0.45
panda3d.csv,0.96,0.55,0.44,0.5,0.7,0.49,0.43,0.65,0.52,0.6,0.58,0.47,0.53
proftp.csv,0.92,0.5,0.93,0.47,0.94,0.38,0.52,0.0,0.88,0.54,0.75,0.0,0.63
qmmp.csv,0.45,0.76,0.42,0.55,0.41,0.45,0.36,0.39,0.37,0.72,0.57,0.52,0.58
skia.csv,0.5,0.59,0.37,0.34,0.46,0.3,0.29,0.75,0.55,0.44,0.4,0.53,0.52
tart.csv,0.49,0.94,0.69,0.39,0.44,0.39,0.31,0.37,0.62,0.58,0.42,0.89,0.47
tcvp.csv,0.88,0.0,0.5,0.5,0.96,0.0,0.0,0.68,0.91,0.8,0.0,0.67,0.92
utgb.csv,0.95,0.69,0.95,0.52,0.48,0.57,0.87,0.47,0.62,0.65,0.9,0.58,0.5
