,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.46,0.01,0.59,0.16,0.04,0.48,0.81,0.24,0.14,0.25,0.63,0.32,0.43
flylinkdc.csv,0.61,0.82,0.44,0.63,0.18,0.64,0.79,0.11,0.12,0.48,0.52,0.34,0.48
fw4spl.csv,0.4,0.42,0.32,0.65,0.36,0.42,0.74,0.19,0.16,0.4,0.21,0.31,0.42
grisbi.csv,0.43,0.9,0.4,0.66,0.23,0.66,0.92,0.23,0.12,0.46,0.62,0.42,0.55
mesa3d.csv,0.27,0.25,0.36,0.32,0.24,0.63,0.49,0.22,0.15,0.38,0.53,0.39,0.44
nuttx.csv,0.48,0.8,0.38,0.56,0.26,0.66,0.39,0.28,0.15,0.46,0.43,0.23,0.44
panda3d.csv,0.2,0.88,0.39,0.55,0.24,0.49,0.72,0.4,0.12,0.46,0.53,0.3,0.4
proftp.csv,0.2,0.01,0.25,0.6,0.15,0.75,0.53,0.0,0.15,0.4,0.06,0.0,0.48
qmmp.csv,0.45,0.7,0.42,0.44,0.25,0.54,0.81,0.17,0.09,0.33,0.71,0.3,0.34
skia.csv,0.42,0.36,0.43,0.57,0.27,0.68,0.84,0.15,0.11,0.39,0.62,0.38,0.58
tart.csv,0.38,0.12,0.28,0.67,0.23,0.66,0.93,0.2,0.28,0.33,0.56,0.05,0.44
tcvp.csv,0.04,0.01,0.05,0.05,0.08,0.0,0.03,0.41,0.0,0.0,0.0,0.0,0.06
utgb.csv,0.31,0.38,0.34,0.71,0.3,0.42,0.35,0.26,0.18,0.41,0.34,0.33,0.45
