aggregate_cyclomatic,aggregate_cyclomaticDensity,aggregate_halstead_bugs,aggregate_halstead_difficulty,aggregate_halstead_effort,aggregate_halstead_length,aggregate_halstead_operands_distinct,aggregate_halstead_operands_total,aggregate_halstead_operators_distinct,aggregate_halstead_operators_total,aggregate_halstead_time,aggregate_halstead_vocabulary,aggregate_halstead_volume,aggregate_line,aggregate_params,aggregate_sloc_logical,aggregate_sloc_physical,avg_function_cyclomatic,avg_function_cyclomaticDensity,avg_function_halstead_bugs,avg_function_halstead_difficulty,avg_function_halstead_effort,avg_function_halstead_length,avg_function_halstead_operands_distinct,avg_function_halstead_operands_total,avg_function_halstead_operators_distinct,avg_function_halstead_operators_total,avg_function_halstead_time,avg_function_halstead_vocabulary,avg_function_halstead_volume,avg_function_line,avg_function_params,avg_function_sloc_logical,avg_function_sloc_physical,file_count_dependencies,file_cyclomatic,file_effort,file_loc,file_maintainability,file_params,total_function_cyclomatic,total_function_cyclomaticDensity,total_function_halstead_bugs,total_function_halstead_difficulty,total_function_halstead_effort,total_function_halstead_length,total_function_halstead_operands_distinct,total_function_halstead_operands_total,total_function_halstead_operators_distinct,total_function_halstead_operators_total,total_function_halstead_time,total_function_halstead_vocabulary,total_function_halstead_volume,total_function_line,total_function_params,total_function_sloc_logical,total_function_sloc_physical,E001,E002,E003,E004,E005,E006,E007,E008,E009,E010,E011,E012,E013,E014,E015,E016,E017,E018,E019,E020,E021,E022,E023,E024,E025,E026,E027,E028,E029,E030,E031,E032,E033,E034,E035,E036,E039,E040,E041,E042,E043,E045,E046,E048,E049,E050,E052,E053,E054,E055,E056,E057,E058,E059,E060,E061,E062,E063,E064,E065,E066,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W014,W016,W017,W018,W019,W020,W021,W022,W024,W025,W026,W027,W028,W030,W031,W032,W033,W034,W035,W036,W037,W038,W040,W042,W043,W044,W045,W046,W047,W048,W049,W050,W051,W052,W053,W054,W055,W056,W057,W058,W059,W060,W061,W062,W063,W064,W065,W066,W067,W068,W069,W070,W071,W072,W073,W074,W075,W076,W077,W078,W079,W080,W082,W083,W084,W085,W086,W087,W088,W089,W090,W093,W094,W095,W096,W097,W098,W101,W103,W104,W106,W107,W108,W109,W110,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123,W124,W125,W126,W127,W128,W129,W130,W131,W132,W133,W134,W135,W136,W137,W138,W139,W140,W141,W142,W143,W144,W145,W146,W147,W148,BUGS
7,28.000000000000004,0.43868196119133296,19.528301886792452,25700.14131130362,214,53,115,18,99,1427.785628405757,71,1316.0458835740021,1,7,25,48,3.0,91.2878787878788,0.106873824602664,8.756728778467906,3354.2744335373304,63.66666666666666,19.0,34.333333333333336,9.666666666666666,29.33333333333333,186.34857964096284,28.66666666666667,320.62147380799206,19.0,2.333333333333333,6.666666666666668,22.0,2,3.0,3354.2744335373304,6.666666666666668,112.25044701311293,2.333333333333333,9,273.8636363636364,0.32062147380799205,26.270186335403718,10062.823300611992,191,57,103,29,88,559.0457389228884,86,961.8644214239763,57,7,20,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25.0,0.424963622508184,17.962264150943398,22899.92652610141,208,53,112,17,96,1272.2181403389673,70,1274.8908675245532,1,7,24,46,2.666666666666666,89.16666666666669,0.10259972626539302,7.953157349896481,2819.1712430663124,61.66666666666666,19.0,33.333333333333336,9.0,28.33333333333333,156.62062461479513,28.0,307.7991787961795,17.666666666666668,2.333333333333333,6.333333333333332,21.33333333333333,2,2.666666666666666,2819.1712430663124,6.333333333333332,113.70285892100188,2.333333333333333,8,267.5,0.30779917879617896,23.85947204968944,8457.513729198938,185,57,100,27,85,469.8618738443854,84,923.3975363885384,53,7,19,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,28.000000000000004,0.43868196119133296,19.528301886792452,25700.14131130362,214,53,115,18,99,1427.785628405757,71,1316.0458835740021,1,7,25,46,3.0,91.2878787878788,0.106873824602664,8.756728778467906,3354.2744335373304,63.66666666666666,19.0,34.333333333333336,9.666666666666666,29.33333333333333,186.34857964096284,28.66666666666667,320.62147380799206,18.0,2.333333333333333,6.666666666666668,21.33333333333333,2,3.0,3354.2744335373304,6.666666666666668,112.25044701311293,2.333333333333333,9,273.8636363636364,0.32062147380799205,26.270186335403718,10062.823300611992,191,57,103,29,88,559.0457389228884,86,961.8644214239763,54,7,20,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,34.615384615384606,0.495668916066524,19.86206896551724,29535.030584929464,238,58,128,18,110,1640.8350324960809,76,1487.0067481995734,1,7,26,47,3.666666666666666,95.83333333333331,0.12377271176763803,9.400307422046552,4425.255504843124,71.66666666666667,20.666666666666668,38.66666666666666,10.0,33.0,245.84752804684024,30.66666666666667,371.3181353029158,18.0,2.333333333333333,7.0,21.66666666666667,2,3.666666666666666,4425.255504843124,7.0,110.46623562327363,2.333333333333333,11,287.5,0.37131813530291496,28.200922266139656,13275.766514529372,215,62,116,30,99,737.5425841405208,92,1113.9544059087475,54,7,21,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.48275862068966,0.5848947844248631,22.317460317460323,39160.09842387422,276,63,148,19,128,2175.5610235485674,82,1754.6843532745913,1,8,29,54,3.25,97.64957264957263,0.110314647842958,8.774305555555555,4501.93102688096,63.25,17.75,34.0,9.25,29.25,250.10727927116451,27.0,330.94394352887787,24.75,2.0,6.0,19.5,2,3.25,4501.93102688096,6.0,112.93247093261552,2.0,13,390.59829059829065,0.44125859137183504,35.09722222222222,18007.72410752384,253,71,136,37,117,1000.4291170846581,108,1323.7757741155115,99,8,24,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32.142857142857146,0.5316188430962691,20.0655737704918,32001.71134179508,253,61,136,18,117,1777.8728523219486,79,1594.856529288807,1,8,28,51,3.0,95.91346153846158,0.098329179167535,7.822010869565218,3691.068914579184,57.5,16.75,31.0,8.5,26.5,205.059384143288,25.25,294.98753750260613,23.25,2.0,5.75,18.0,2,3.0,3691.068914579184,5.75,114.31952542718568,2.0,12,383.6538461538462,0.39331671667014,31.28804347826087,14764.275658316736,230,67,124,34,106,820.237536573152,101,1179.9501500104245,93,8,23,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,30.0,0.574298864417166,21.865079365079364,37671.27074926893,271,63,145,19,126,2092.848374959385,82,1722.896593251501,1,7,30,54,3.666666666666666,95.44159544159544,0.138435489861857,10.540229885057473,5298.711053155336,78.66666666666667,22.0,42.333333333333336,11.0,36.333333333333336,294.3728362864076,33.0,415.3064695855731,21.66666666666667,2.333333333333333,7.666666666666668,24.33333333333333,4,3.666666666666666,5298.711053155336,7.666666666666668,108.37642914825916,2.333333333333333,11,286.3247863247863,0.4153064695855721,31.62068965517241,15896.133159466008,236,66,127,33,109,883.1185088592225,99,1245.9194087567191,65,7,23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,27.500000000000004,0.6704736227405851,25.45454545454545,51199.80391837198,313,66,168,20,145,2844.433551020665,86,2011.4208682217568,1,9,40,70,3.5,116.96832579185521,0.120748159695269,9.66875,5353.291933427772,69.0,18.0,37.25,9.5,31.75,297.4051074126541,27.5,362.2444790858085,23.5,2.25,8.0,23.5,4,3.5,5353.291933427772,8.0,107.66261452063488,2.25,14,467.87330316742083,0.482992638781076,38.675,21413.167733711092,276,72,149,38,127,1189.6204296506164,110,1448.977916343234,94,9,32,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,25.0,0.708013521785659,25.21739130434783,53562.762082915106,328,69,174,20,154,2975.7090046063954,89,2124.0405653569783,1,7,44,75,3.5,92.51012145748987,0.12372397176719198,9.0,5541.20054755845,69.25,17.75,37.0,8.75,32.25,307.84447486435835,26.5,371.17191530158,25.0,1.75,8.5,24.5,6,3.5,5541.20054755845,8.5,106.56250736993591,1.75,14,370.0404858299595,0.49489588706877097,36.0,22164.8021902338,277,71,148,35,129,1231.3778994574334,106,1484.6876612063195,100,7,34,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,24.39024390243902,0.6768998874952871,25.45454545454545,51690.53686327652,316,66,168,20,148,2871.6964924042504,86,2030.699662485863,1,7,41,70,3.25,91.96832579185521,0.120214950633347,9.079545454545453,5429.700174736576,67.75,17.25,36.25,8.75,31.5,301.6500097075876,26.0,360.64485190004285,24.0,1.75,8.0,23.5,5,3.25,5429.700174736576,8.0,107.6311903288493,1.75,13,367.87330316742083,0.480859802533389,36.31818181818181,21718.800698946303,271,69,145,35,126,1206.6000388303505,104,1442.5794076001714,96,7,32,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
