,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.84,0.74,0.61,0.6,0.55,0.35,0.58,0.23,0.32,0.28,0.19
badtrinitycore.csv,0.0,0.01,0.51,0.83,0.43,0.0,0.05,0.43,0.18,0.15,0.32
boost.csv,0.4,0.71,0.64,0.56,0.66,0.02,0.41,0.61,0.71,0.53,0.53
electric-core.csv,0.6,0.66,0.64,0.65,0.63,0.25,0.6,0.53,0.59,0.5,0.52
java-gnome.csv,0.31,0.38,0.16,0.07,0.58,0.82,0.6,0.37,0.5,0.4,0.35
miranda-icq.csv,0.71,0.0,0.64,0.46,0.55,0.06,0.6,0.48,0.44,0.57,0.32
ofbiz.csv,0.47,0.0,0.44,0.44,0.5,0.29,0.17,0.61,0.24,0.73,0.61
olsrd.csv,0.71,0.75,0.64,0.61,0.64,0.34,0.63,0.6,0.48,0.58,0.36
opensim4opencog.csv,0.72,0.65,0.67,0.77,0.55,0.2,0.5,0.64,0.42,0.64,0.43
t-2.csv,0.55,0.53,0.48,0.58,0.44,0.05,0.52,0.67,0.59,0.54,0.59
xcf.csv,0.49,0.7,0.68,0.66,0.45,0.46,0.63,0.4,0.49,0.55,0.79
