,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,662.0,0.0,0.0,1117.5,86.5,0.0,99.0,456.0,99.0,97.5,88.5,1399.5
dvt.csv,1144.5,99.0,14.5,96.5,183.0,446.5,99.0,89.5,198.0,97.5,386.5,1091.5
flylinkdc.csv,370.0,99.0,99.0,690.0,188.0,2469.5,1044.0,97.5,197.5,99.0,482.0,1359.0
fulguro.csv,172.0,297.0,99.0,1148.5,188.0,3471.5,99.0,97.5,98.5,98.5,189.0,594.5
fw4spl.csv,860.0,198.0,97.5,558.5,257.5,1118.0,99.0,89.5,198.0,97.5,252.5,578.5
ipfire-wall.csv,375.5,99.0,92.5,699.0,17.5,308.0,511.0,97.5,123.5,99.0,544.5,723.5
jruby.csv,1424.0,99.0,99.0,718.5,57.0,2208.0,184.0,43.5,197.5,98.5,482.0,0.0
ldview.csv,1141.5,198.0,94.5,372.0,188.0,877.0,0.0,97.5,98.5,97.5,482.0,418.5
nuttx.csv,559.0,99.0,99.0,277.5,283.5,1401.5,99.0,184.0,197.5,95.5,174.0,746.0
oorexx.csv,1233.0,55.5,89.5,276.5,283.5,1029.5,0.0,184.0,197.5,95.5,265.5,977.5
uclmda.csv,856.0,407.5,86.5,155.0,86.5,650.5,99.0,545.5,99.0,2.5,0.0,337.5
vdsf.csv,851.0,198.0,99.0,1211.0,86.5,1515.5,99.0,97.5,99.0,99.0,482.0,428.5
