,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.27,0.0,0.0,0.33,0.37,0.0,0.77,0.13,0.53,0.19,0.17,0.45
dvt.csv,0.64,0.57,0.01,0.7,0.44,0.07,0.7,0.6,0.76,0.36,0.17,0.2
flylinkdc.csv,0.7,0.21,0.41,0.35,0.5,0.41,0.41,0.69,0.17,0.0,0.0,0.43
fulguro.csv,0.22,0.5,0.47,0.43,0.53,0.47,0.51,0.36,0.07,0.44,0.52,0.57
fw4spl.csv,0.5,0.38,0.33,0.35,0.28,0.6,0.45,0.6,0.12,0.27,0.23,0.47
ipfire-wall.csv,0.43,0.66,0.4,0.17,0.06,0.23,0.17,0.81,0.0,0.42,0.22,0.48
jruby.csv,0.09,0.0,0.0,0.32,0.0,0.3,0.0,0.0,0.58,0.71,0.17,0.0
ldview.csv,0.54,0.43,0.38,0.2,0.69,0.27,0.0,0.61,0.58,0.18,0.48,0.4
nuttx.csv,0.61,0.18,0.64,0.12,0.6,0.48,0.48,0.4,0.62,0.27,0.49,0.11
oorexx.csv,0.6,0.05,0.05,0.17,0.59,0.55,0.0,0.44,0.46,0.16,0.68,0.62
uclmda.csv,0.27,0.0,0.19,0.17,0.36,0.25,0.33,0.2,0.99,0.01,0.0,0.11
vdsf.csv,0.42,0.4,0.19,0.49,0.58,0.2,0.35,0.65,0.35,0.2,0.38,0.71
