,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.21,0.0,0.0,0.24,0.38,0.0,0.58,0.12,0.66,0.26,0.22,0.17
dvt.csv,0.46,0.23,0.01,0.6,0.37,0.08,0.49,0.47,0.92,0.48,0.21,0.07
flylinkdc.csv,0.6,0.16,0.84,0.45,0.43,0.16,0.35,0.57,0.25,0.92,0.7,0.22
fulguro.csv,0.22,0.13,0.59,0.31,0.56,0.2,0.35,0.32,0.1,0.56,0.62,0.28
fw4spl.csv,0.36,0.18,0.43,0.29,0.27,0.35,0.33,0.49,0.18,0.36,0.31,0.2
ipfire-wall.csv,0.43,0.25,0.51,0.19,0.08,0.2,0.13,0.7,0.0,0.53,0.27,0.22
jruby.csv,0.43,0.16,0.9,0.26,0.0,0.15,0.0,0.0,0.82,0.83,0.74,0.0
ldview.csv,0.44,0.22,0.49,0.2,0.6,0.21,0.0,0.51,0.82,0.26,0.75,0.25
nuttx.csv,0.51,0.18,0.75,0.13,0.51,0.26,0.47,0.3,0.78,0.37,0.57,0.07
oorexx.csv,0.43,0.06,0.07,0.19,0.5,0.31,0.0,0.36,0.87,0.22,0.71,0.26
uclmda.csv,0.22,0.0,0.28,0.23,0.3,0.17,0.34,0.15,1.0,0.02,0.0,0.1
vdsf.csv,0.31,0.27,0.7,0.37,0.48,0.09,0.22,0.57,0.47,0.86,0.68,0.34
