,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.93,0.82,0.81,0.33,0.72,0.3,0.71,0.81,0.94
carabiner.csv,0.95,0.93,0.45,0.46,0.93,0.31,0.76,0.27,0.78
grisbi.csv,0.92,0.92,0.96,0.65,0.86,0.2,0.68,0.96,0.88
jmol.csv,1.01,0.9,0.49,0.46,0.98,0.47,0.55,0.98,0.9
minig.csv,0.68,0.55,1.0,0.98,0.49,1.0,0.52,0.73,0.61
mobicents.csv,0.41,0.46,0.92,0.62,0.5,0.8,0.35,0.74,0.56
x4x.csv,0.36,0.81,0.8,0.63,0.89,1.0,0.66,0.89,0.88
zabbix.csv,0.75,0.68,0.75,0.62,0.78,0.55,0.56,1.06,0.74
zxing.csv,0.93,0.68,0.61,0.48,0.69,0.38,0.73,0.67,0.26
