,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.37,0.64,0.42,0.52,0.52,0.23,0.24,0.78,0.8,0.4,0.31,0.64,0.93,0.73,0.69,0.4,0.57,0.66
arm-webradio.csv,0.69,0.64,0.67,0.83,0.84,0.43,0.24,0.56,0.87,0.87,0.19,0.53,0.36,1.0,0.56,0.77,0.86,0.97
bwapi.csv,0.77,0.73,0.92,0.8,0.73,0.93,0.9,0.61,0.46,0.8,0.75,0.88,0.91,1.0,0.58,0.99,1.0,0.77
co-ode-owl-plugins.csv,0.57,1.0,0.58,0.74,0.89,0.58,0.24,0.94,0.85,1.0,0.12,0.33,0.39,0.96,0.78,1.0,0.86,0.89
firebreath.csv,0.8,0.64,0.67,0.76,0.61,0.9,0.52,0.83,0.81,0.8,0.81,0.78,0.85,0.62,0.67,0.26,0.57,0.77
frogatto.csv,0.2,0.45,0.75,0.61,0.59,0.37,0.76,0.33,0.3,0.53,0.25,0.53,0.49,0.96,1.0,0.23,0.71,0.49
gretl.csv,0.86,0.82,1.0,0.91,0.91,0.75,0.48,1.0,0.74,0.93,0.44,0.99,0.92,0.92,0.86,0.97,0.71,0.86
jasperreports.csv,0.66,0.0,0.33,0.15,0.14,0.17,0.0,0.72,0.13,0.47,0.0,0.02,0.01,1.0,0.03,0.06,0.0,0.0
konversation.csv,0.29,0.27,0.92,0.15,0.32,0.13,0.14,0.33,0.13,0.4,0.0,0.41,0.44,0.31,0.22,0.06,0.29,0.34
linuxsh.csv,0.29,0.91,0.58,0.46,0.66,0.37,0.29,0.17,0.7,0.67,0.12,0.39,0.27,0.69,0.44,0.42,0.43,0.17
moviesandbox.csv,0.37,0.45,0.58,0.46,0.98,0.23,0.1,0.11,0.35,0.6,0.19,0.26,0.15,0.54,0.22,0.21,0.43,0.43
ontomorphtab.csv,1.0,0.55,0.83,0.72,0.8,0.58,0.38,0.39,0.74,0.87,0.06,0.45,0.26,0.92,0.61,0.34,0.43,0.6
opengs.csv,0.17,0.18,0.67,0.52,0.73,0.2,0.05,0.17,1.0,0.47,0.12,0.48,0.27,0.69,0.5,0.18,0.57,0.31
scite-ru.csv,0.89,0.27,0.58,0.67,0.75,0.53,0.9,0.56,0.91,0.93,0.31,0.2,0.12,0.81,0.39,0.4,0.57,0.23
tokratan.csv,0.26,0.0,0.58,0.39,0.25,0.25,0.43,0.0,0.02,0.87,0.19,0.57,0.19,0.31,0.08,0.05,0.57,0.23
vrjuggler.csv,0.23,0.0,0.33,0.09,0.2,0.0,0.24,0.44,0.06,0.13,0.88,0.12,0.09,0.08,0.31,0.06,0.43,0.2
wxcode.csv,0.0,0.0,0.5,0.13,0.16,0.1,0.14,0.06,0.07,0.07,0.06,0.14,0.12,0.46,0.14,0.06,1.0,0.11
xuggle.csv,0.51,1.0,0.33,0.78,0.52,0.55,0.62,0.72,0.89,0.67,0.0,0.75,0.89,0.42,0.58,0.69,0.86,0.49
