,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.4,0.46,0.46,0.53,0.52,0.26,0.28,0.72,0.46,0.4,0.35,0.62,0.92,0.69,0.47,0.38,0.56,0.65
arm-webradio.csv,0.57,0.65,0.7,0.76,0.55,0.47,0.28,0.6,0.51,0.73,0.22,0.53,0.4,0.0,0.53,0.59,0.68,0.98
bwapi.csv,0.58,0.5,0.44,0.38,0.44,0.27,0.52,0.46,0.46,0.7,0.54,0.34,0.32,0.72,0.52,0.98,0.3,0.42
co-ode-owl-plugins.csv,0.59,0.0,0.6,0.73,0.71,0.58,0.28,0.95,0.8,0.05,0.14,0.37,0.42,0.17,0.73,0.0,0.84,0.09
firebreath.csv,0.59,0.57,0.64,0.67,0.61,0.92,0.44,0.6,0.6,0.43,0.58,0.26,0.49,0.26,0.66,0.3,0.54,0.5
frogatto.csv,0.24,0.49,0.74,0.63,0.61,0.41,0.62,0.37,0.34,0.57,0.28,0.54,0.53,0.88,0.99,0.26,0.7,0.52
gretl.csv,0.42,0.17,0.56,0.27,0.24,0.56,0.47,0.13,0.4,0.35,0.42,0.98,0.42,0.55,0.65,0.38,0.45,0.44
jasperreports.csv,0.44,0.0,0.38,0.18,0.17,0.2,0.0,0.64,0.16,0.38,0.0,0.02,0.01,1.0,0.04,0.07,0.0,0.0
konversation.csv,0.32,0.31,0.93,0.18,0.37,0.16,0.16,0.38,0.16,0.44,0.0,0.41,0.46,0.36,0.26,0.07,0.32,0.39
linuxsh.csv,0.34,0.93,0.62,0.5,0.6,0.41,0.33,0.2,0.58,0.65,0.15,0.44,0.3,0.63,0.48,0.46,0.47,0.2
moviesandbox.csv,0.42,0.49,0.61,0.51,0.98,0.27,0.12,0.13,0.4,0.62,0.22,0.3,0.18,0.59,0.26,0.24,0.48,0.48
ontomorphtab.csv,0.99,0.55,0.7,0.72,0.68,0.56,0.42,0.42,0.71,0.65,0.07,0.49,0.3,0.84,0.6,0.36,0.47,0.64
opengs.csv,0.2,0.21,0.69,0.56,0.73,0.24,0.06,0.2,1.0,0.51,0.14,0.53,0.31,0.7,0.54,0.21,0.59,0.36
scite-ru.csv,0.63,0.31,0.59,0.67,0.7,0.54,0.9,0.57,0.72,0.6,0.35,0.24,0.14,0.26,0.43,0.44,0.59,0.26
tokratan.csv,0.3,0.0,0.61,0.44,0.29,0.29,0.47,0.0,0.02,0.89,0.22,0.5,0.22,0.35,0.1,0.06,0.61,0.27
vrjuggler.csv,0.26,0.0,0.38,0.11,0.24,0.0,0.27,0.48,0.07,0.16,0.9,0.15,0.11,0.1,0.35,0.07,0.48,0.24
wxcode.csv,0.0,0.0,0.55,0.16,0.19,0.12,0.17,0.07,0.09,0.09,0.07,0.17,0.15,0.51,0.17,0.07,1.0,0.13
xuggle.csv,0.44,0.21,0.36,0.82,0.46,0.44,0.38,0.55,0.71,0.57,0.0,0.38,0.41,0.33,0.21,0.6,0.69,0.39
