,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.25,0.5,0.17,0.37,0.33,0.28,0.04,0.22,0.21,0.11,0.27
gbif-providertoolkit.csv,0.6,0.05,0.26,0.3,0.5,0.11,0.23,0.48,0.6,0.25,0.27
geochat.csv,0.37,0.14,0.3,0.34,0.11,0.32,0.6,0.26,0.18,0.36,0.46
heekscad.csv,0.79,0.33,0.62,0.49,0.34,0.34,0.56,0.41,0.85,0.41,0.32
igarden.csv,0.69,0.24,0.53,0.57,0.36,0.33,0.73,0.48,0.79,0.38,0.27
jstock.csv,0.66,0.35,0.63,0.51,0.36,0.33,0.31,0.73,0.58,0.43,0.31
levent.csv,0.65,0.0,0.23,0.16,0.35,0.14,0.77,0.43,0.51,0.0,0.09
piccolo2d.csv,0.3,0.0,0.56,0.26,0.41,0.48,0.54,0.4,0.34,0.4,0.26
pnotepad.csv,0.72,0.3,0.64,0.47,0.28,0.28,0.72,0.44,0.93,0.42,0.35
trinitycore.csv,0.52,0.3,0.49,0.48,0.21,0.23,0.0,0.21,0.46,0.44,0.15
xcsoar.csv,0.73,0.27,0.71,0.45,0.36,0.29,0.59,0.5,0.4,0.38,0.37
