,nova.csv,crisscross.csv,mvdsv.csv,proftp.csv,libmesh.csv,l2j.csv,jfreechart.csv
crisscross.csv,0.89,0.24,1.0,1.0,0.96,0.8,0.95
l2j.csv,0.02,0.17,0.1,0.43,0.59,0.45,0.36
libmesh.csv,0.14,0.11,0.13,0.35,0.26,0.28,0.0
mvdsv.csv,0.32,0.0,0.03,0.08,0.09,0.0,0.06
nova.csv,0.23,0.54,0.54,0.16,0.33,0.16,0.65
proftp.csv,0.0,0.58,0.0,0.24,0.11,0.04,0.13
