,guineu.csv,pokeglobal.csv,graphmak.csv,pdfedit.csv,jhotdraw.csv,red5.csv,cascading.csv,twostep.csv,ofbiz.csv
cascading.csv,0.39,0.55,0.51,0.64,0.31,0.6,1.0,0.6,0.71
graphmak.csv,0.24,0.34,1.0,0.2,0.12,0.32,0.26,0.42,0.24
guineu.csv,0.92,0.17,0.38,0.17,0.1,0.42,0.32,0.41,0.33
jhotdraw.csv,0.35,0.33,0.15,0.05,0.96,0.16,0.11,0.36,0.11
ofbiz.csv,0.23,0.52,0.44,0.3,0.31,0.59,0.4,0.42,0.99
pdfedit.csv,0.4,0.44,0.38,0.99,0.29,0.47,0.7,0.16,0.42
pokeglobal.csv,0.51,0.98,0.56,0.57,0.27,0.67,0.67,0.61,0.74
red5.csv,0.55,0.47,0.45,0.18,0.38,0.99,0.54,0.54,0.45
twostep.csv,0.42,0.52,0.36,0.59,0.38,0.69,0.66,0.98,0.62
