,guineu.csv,pokeglobal.csv,graphmak.csv,pdfedit.csv,jhotdraw.csv,red5.csv,cascading.csv,twostep.csv,ofbiz.csv
cascading.csv,0.4,0.52,0.42,0.39,0.42,0.5,0.44,0.41,0.43
graphmak.csv,0.87,0.75,0.6,0.88,0.95,0.85,0.87,0.86,0.97
guineu.csv,0.73,0.86,0.68,0.8,0.98,0.86,0.85,0.88,0.84
jhotdraw.csv,0.88,0.74,0.93,0.0,0.98,0.83,0.92,0.72,0.95
ofbiz.csv,0.89,0.56,0.69,0.91,0.87,0.54,0.74,0.55,0.44
pdfedit.csv,0.74,0.79,0.63,0.52,0.61,0.55,0.62,0.7,0.67
pokeglobal.csv,0.37,0.46,0.39,0.37,0.36,0.35,0.42,0.4,0.41
red5.csv,0.56,0.63,0.58,0.93,0.52,0.45,0.6,0.69,0.64
twostep.csv,0.39,0.56,0.68,0.4,0.59,0.45,0.54,0.52,0.59
