,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.94,0.62,0.08,0.84,0.6,0.62,0.93,0.6,0.98,0.7,0.69,0.66,0.7,0.71,0.73,0.63,0.71,0.73,0.78
dspace-gsoc.csv,0.72,0.69,0.48,0.79,0.67,0.64,0.67,0.52,0.56,0.67,0.64,0.59,0.0,0.72,0.51,0.76,0.84,0.82,0.52
grisbi.csv,0.93,0.7,0.58,0.74,0.68,0.85,0.83,0.85,0.45,0.02,0.8,0.76,0.75,0.8,0.54,0.69,0.7,0.93,0.87
maidsafe-dht.csv,0.93,0.94,0.65,0.99,0.0,1.0,0.87,0.51,0.85,0.8,1.0,1.01,1.0,0.98,0.94,0.74,1.0,0.86,1.0
mesa3d.csv,0.74,0.96,0.9,0.8,0.63,0.48,0.9,0.57,0.86,0.87,0.47,0.69,0.92,0.87,0.75,0.15,0.21,0.75,0.87
n2cms.csv,0.7,0.04,0.64,0.85,0.66,0.81,0.75,0.57,0.63,0.48,0.69,0.64,0.81,0.56,0.65,0.93,0.63,0.86,0.78
nassp.csv,0.78,0.71,0.68,0.95,0.66,1.02,0.87,0.08,0.57,0.56,0.79,0.64,0.85,0.68,0.88,0.6,0.6,0.92,0.68
ninject.csv,0.65,0.82,1.0,0.92,0.86,1.0,0.96,1.0,0.76,1.0,1.0,1.0,0.97,1.0,1.0,0.85,0.0,1.0,0.61
nug.csv,0.99,0.68,0.66,0.95,0.74,0.06,0.61,0.75,0.88,1.04,1.0,0.86,0.78,0.76,1.13,0.76,0.82,0.76,0.68
nuttx.csv,0.85,0.7,0.86,0.03,0.62,0.9,0.53,0.83,0.61,0.74,0.72,0.79,0.71,0.98,0.56,0.55,0.55,0.85,0.94
oorexx.csv,0.69,0.68,0.74,0.68,0.48,0.89,0.71,0.6,0.79,0.54,0.83,0.65,0.59,0.91,0.52,0.69,0.58,0.03,0.86
oppna-program-hsatools.csv,1.0,0.95,0.97,0.92,0.97,0.95,0.88,0.89,0.02,0.3,0.9,0.84,1.0,0.61,1.01,0.89,0.93,1.0,1.0
redshell.csv,1.0,0.57,1.0,0.97,0.63,0.82,0.0,0.84,0.64,0.46,0.78,0.65,0.68,0.98,0.57,0.66,0.69,0.59,0.8
super-tux.csv,1.0,0.73,1.0,1.0,0.98,1.0,1.0,1.0,0.49,1.0,1.0,0.99,1.0,1.0,0.0,1.0,0.51,1.0,0.79
tart.csv,1.0,1.0,0.92,1.0,0.93,1.0,0.96,1.0,0.83,0.94,1.0,0.0,0.97,0.95,0.95,1.0,1.0,0.97,1.0
tcvp.csv,1.0,0.9,1.0,0.9,0.81,0.8,0.92,0.74,0.87,0.83,0.0,1.0,0.89,0.98,0.94,0.81,1.0,0.83,0.61
vdsf.csv,0.14,0.99,0.93,0.92,0.97,1.0,1.0,1.0,0.96,1.0,0.86,0.93,1.0,1.0,1.0,0.9,0.98,1.0,0.75
web-cat.csv,1.0,0.86,0.67,0.94,0.6,0.85,0.56,0.59,0.93,0.45,0.85,0.57,0.79,0.64,0.6,0.81,0.64,0.6,0.05
zabbix.csv,0.99,0.71,0.66,0.83,0.76,0.8,0.69,0.58,0.53,0.87,0.86,0.87,0.8,0.02,1.01,0.86,0.8,0.98,0.78
