,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.9,0.43,0.0,0.82,0.42,0.19,0.75,0.54,0.96,0.36,0.16,0.66,0.58,0.58,0.6,0.49,0.58,0.68,0.71
dspace-gsoc.csv,0.52,0.28,0.3,0.56,0.52,0.25,0.38,0.46,0.26,0.07,0.46,0.55,0.0,0.44,0.0,0.28,0.25,0.32,0.42
grisbi.csv,0.92,0.65,0.56,0.54,0.67,0.78,0.75,0.85,0.43,0.0,0.73,0.76,0.74,0.72,0.4,0.65,0.67,0.92,0.87
maidsafe-dht.csv,0.01,0.03,0.19,0.03,0.0,0.03,0.0,0.09,0.09,0.0,0.03,0.16,0.0,0.01,0.0,0.26,0.02,0.08,0.03
mesa3d.csv,0.41,0.08,0.51,0.69,0.38,0.25,0.62,0.28,0.13,0.43,0.32,0.35,0.11,0.1,0.4,0.02,0.05,0.44,0.35
n2cms.csv,0.24,0.0,0.27,0.23,0.43,0.28,0.5,0.39,0.09,0.07,0.41,0.51,0.05,0.42,0.2,0.04,0.49,0.36,0.26
nassp.csv,0.21,0.18,0.11,0.08,0.13,0.19,0.38,0.0,0.3,0.0,0.12,0.24,0.16,0.22,0.2,0.23,0.07,0.04,0.35
ninject.csv,0.26,0.09,0.03,0.1,0.05,0.0,0.12,0.0,0.04,0.0,0.0,0.06,0.21,0.0,0.0,0.11,0.0,0.0,0.52
nug.csv,0.99,0.43,0.51,0.95,0.2,0.0,0.25,0.35,0.39,0.64,0.05,0.3,0.11,0.07,1.0,0.63,0.56,0.32,0.48
nuttx.csv,0.83,0.65,0.86,0.03,0.62,0.89,0.38,0.83,0.39,0.71,0.57,0.76,0.58,0.9,0.2,0.41,0.51,0.84,0.94
oorexx.csv,0.43,0.41,0.58,0.64,0.38,0.75,0.5,0.54,0.61,0.29,0.8,0.62,0.42,0.7,0.2,0.33,0.42,0.0,0.52
oppna-program-hsatools.csv,1.0,0.95,0.97,0.87,0.97,0.94,0.88,0.89,0.0,0.29,0.16,0.82,1.0,0.56,1.0,0.88,0.93,1.0,1.0
redshell.csv,1.0,0.46,1.0,0.97,0.57,0.81,0.0,0.37,0.04,0.29,0.77,0.62,0.63,0.88,0.2,0.52,0.56,0.36,0.55
super-tux.csv,1.0,0.61,1.0,1.0,0.98,1.0,1.0,1.0,0.13,1.0,1.0,0.99,1.0,0.99,0.0,1.0,0.31,1.0,0.74
tart.csv,0.0,0.01,0.06,0.0,0.03,0.0,0.0,0.0,0.09,0.0,0.03,0.0,0.0,0.01,0.0,0.01,0.07,0.0,0.0
tcvp.csv,0.0,0.27,0.09,0.03,0.2,0.25,0.25,0.33,0.13,0.14,0.0,0.09,0.0,0.0,0.0,0.07,0.04,0.28,0.19
vdsf.csv,0.01,0.99,0.92,0.92,0.97,1.0,1.0,1.0,0.96,1.0,0.86,0.93,1.0,1.0,1.0,0.89,0.96,1.0,0.68
web-cat.csv,0.06,0.2,0.24,0.08,0.48,0.56,0.38,0.3,0.78,0.21,0.65,0.57,0.16,0.56,0.2,0.52,0.24,0.28,0.0
zabbix.csv,0.99,0.66,0.59,0.77,0.75,0.72,0.62,0.52,0.48,0.86,0.36,0.84,0.74,0.0,1.0,0.81,0.69,0.92,0.71
