,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,197.5,1049.0,98.5,290.5,557.0,195.0,98.5,395.0,97.5,1676.5,98.5,99.0,98.5
bscwweasel.csv,96.5,45.5,197.5,191.0,280.5,96.5,98.5,296.0,284.5,1742.5,98.5,99.0,98.5
capcode.csv,98.5,295.0,197.5,196.0,465.5,96.5,95.5,308.5,290.5,1673.5,93.5,99.0,98.5
emite.csv,197.5,1108.0,98.5,192.0,648.5,192.0,98.5,293.5,93.5,96.5,98.5,99.0,97.5
geogebra.csv,98.5,194.0,98.5,92.5,466.5,195.0,98.5,196.0,288.5,1353.5,172.0,99.0,98.5
hibernate.csv,197.5,91.5,197.5,294.5,372.0,195.0,94.5,98.5,288.5,1639.0,98.5,99.0,98.5
lamp.csv,98.5,192.0,97.5,384.0,756.0,195.0,98.5,97.5,93.5,883.5,95.5,99.0,98.5
nodal.csv,98.5,184.0,196.5,273.5,560.0,313.0,95.5,139.5,93.5,1246.5,92.5,99.0,98.5
retromenu.csv,96.5,376.0,197.5,366.0,81.5,192.0,92.5,193.0,192.0,93.5,81.5,99.0,98.5
smbopensoft.csv,98.5,394.0,98.5,294.5,657.5,290.5,96.5,294.0,97.5,1873.0,95.5,99.0,98.5
stuproa-cims.csv,0.0,91.5,197.5,280.5,657.5,120.0,103.0,188.0,190.0,378.0,98.5,99.0,98.5
thout.csv,98.5,394.0,382.0,178.0,460.5,292.5,98.5,395.0,97.5,1974.0,98.5,99.0,98.5
uface.csv,197.5,394.0,197.5,294.5,280.5,292.5,98.5,392.5,290.5,491.0,98.5,99.0,98.5
