,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.39,0.59,0.45,0.41,0.44,0.46,0.39,0.39,0.46,0.42,0.37,0.5
crisscross.csv,0.4,0.42,0.49,0.47,0.86,0.4,0.43,0.39,0.45,0.36,0.4,0.44
gabel.csv,0.55,0.78,0.54,0.43,0.86,0.67,0.5,0.77,0.6,0.83,0.43,0.53
jguard.csv,0.46,0.42,0.47,0.47,0.31,0.43,0.37,0.62,0.45,0.39,0.4,0.51
jitterbit.csv,0.44,0.0,0.55,0.44,0.85,0.64,0.4,0.56,0.48,0.67,0.42,0.46
mycila.csv,0.57,0.75,0.55,0.68,0.37,0.54,0.43,0.67,0.5,0.42,0.67,0.8
nova.csv,0.62,0.52,0.67,0.48,0.41,0.46,0.48,0.67,0.56,0.94,0.47,0.6
ontomorphtab.csv,0.41,0.56,0.56,0.4,0.34,0.39,0.36,0.38,0.42,0.6,0.38,0.44
tmva.csv,0.54,0.41,0.45,0.41,0.33,0.45,0.43,0.53,0.44,0.88,0.36,0.52
vienna-add-in.csv,0.57,0.41,0.59,0.42,0.92,0.49,0.56,0.6,0.91,0.71,0.48,0.54
vrjuggler.csv,0.45,0.71,0.8,0.51,0.69,0.7,0.5,0.52,0.67,0.55,0.57,0.59
wpdev.csv,0.39,0.41,0.57,0.45,0.53,0.39,0.42,0.39,0.46,0.38,0.37,0.44
