,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.69,1.0,1.0,0.88,1.0,0.53,0.8,1.0,1.0,0.72,0.5,1.0,0.61,0.85
codeblocks.csv,0.55,0.74,0.64,0.69,0.74,0.77,0.76,0.53,0.62,0.82,0.82,0.67,0.41,0.47
ctrlr.csv,0.83,0.75,1.0,0.7,0.8,0.85,0.98,0.89,0.65,0.75,0.73,0.35,1.01,0.84
dvt.csv,0.69,0.79,0.89,0.84,0.96,0.78,0.4,0.57,0.87,0.83,0.76,0.63,1.0,0.79
flylinkdc.csv,0.35,0.75,0.98,0.78,0.87,0.65,0.86,0.64,1.0,0.68,0.62,0.82,1.0,0.5
kowari.csv,0.81,0.77,1.0,0.76,0.81,0.68,0.87,0.69,0.83,0.9,0.68,0.94,0.38,0.54
ldview.csv,0.99,0.91,1.0,0.7,0.95,0.92,0.98,0.65,0.94,0.42,0.91,0.68,0.97,0.61
maidsafe-dht.csv,0.65,0.7,0.53,0.53,0.93,0.33,0.69,0.84,0.73,0.68,0.6,0.98,0.68,0.63
n2cms.csv,0.55,0.66,0.61,0.32,0.79,0.44,0.63,0.63,0.47,0.68,0.54,0.92,0.62,0.66
nuttx.csv,0.58,0.88,0.99,0.92,0.53,0.73,0.94,0.59,0.82,0.63,0.96,0.6,0.74,0.68
rtb-team.csv,0.89,0.77,1.0,0.55,1.0,0.66,0.8,0.97,0.24,1.0,0.52,0.96,0.9,0.92
super-tux.csv,0.95,0.86,0.52,0.76,1.01,0.67,0.73,0.88,0.69,0.84,0.74,0.89,0.43,0.08
vdsf.csv,0.89,0.69,0.65,0.73,0.97,0.88,0.79,0.81,1.0,0.68,0.87,0.93,1.12,0.83
xbrlapi.csv,0.87,0.49,1.0,0.74,1.0,0.87,0.77,0.94,0.84,0.78,0.66,0.91,1.12,1.0
