,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv,tango-cs.csv
bibletime.csv,0.57,0.97,0.79,0.58,0.5,0.49,0.63,0.98,0.77,0.77,0.61,0.53,0.64,0.6,0.75,0.65,0.82,0.28,0.64
decidr.csv,0.76,0.6,0.58,0.79,0.82,0.94,0.36,0.98,0.96,0.87,0.67,0.74,0.84,0.95,0.71,0.78,0.95,0.93,0.63
doomlegacy.csv,0.52,1.0,0.98,0.66,0.64,0.67,0.98,0.73,0.7,0.95,0.65,0.69,1.0,0.87,0.55,0.81,1.0,0.47,0.9
elmo.csv,0.65,0.51,0.51,0.76,0.83,0.8,0.7,0.82,0.53,0.93,0.74,0.86,0.66,0.92,0.74,0.79,0.89,0.6,0.73
gpac.csv,0.93,0.99,0.82,0.85,0.8,0.73,0.98,0.51,0.98,0.97,0.94,0.66,0.95,0.82,0.82,0.88,0.96,0.83,0.79
illumination.csv,1.0,0.74,0.91,0.86,1.0,0.74,0.93,1.0,0.99,1.0,0.89,0.79,0.94,0.77,0.84,0.28,0.73,0.88,1.0
img-browse-sort.csv,0.44,0.85,0.52,0.47,0.47,0.55,0.66,0.47,0.61,0.76,0.49,0.52,0.37,0.3,0.77,0.72,0.78,0.48,0.7
ktc.csv,0.34,0.62,0.44,0.92,0.43,0.65,0.53,0.64,0.64,0.62,0.8,0.53,0.43,0.69,0.57,0.72,0.47,0.47,0.59
neoengine.csv,0.52,0.94,0.41,0.46,0.58,0.54,0.54,1.0,1.0,0.71,0.69,0.59,0.36,0.66,0.65,0.74,0.38,0.56,0.61
nicepress.csv,0.55,0.85,0.94,0.73,0.44,0.31,0.54,0.94,0.96,0.65,0.49,0.58,0.9,0.72,0.74,0.63,0.89,0.5,0.57
omseek.csv,0.71,1.0,0.88,1.0,0.82,0.92,0.76,1.0,0.88,0.65,0.74,0.41,0.46,0.85,0.94,0.83,0.77,0.74,0.7
pi-qmc.csv,0.73,1.05,0.55,0.61,0.67,0.63,0.6,1.01,0.94,0.75,0.68,0.77,0.53,0.86,0.75,0.75,0.2,0.81,0.68
rosegarden.csv,0.4,0.62,0.87,0.64,0.38,0.51,0.78,0.51,0.65,0.69,0.67,0.57,0.6,0.61,0.67,0.96,0.73,0.41,0.89
sigil.csv,0.38,0.82,0.49,0.57,0.46,0.6,0.6,0.88,0.84,0.82,0.44,0.52,0.24,0.47,0.83,0.86,0.6,0.58,0.77
smarttag.csv,0.75,0.77,0.95,0.72,0.66,0.49,0.76,0.76,0.58,0.62,0.69,0.79,0.47,0.74,0.85,0.73,0.38,0.61,0.9
sylpheed-claws.csv,0.74,1.0,0.67,0.93,0.76,0.99,0.76,0.56,0.42,0.87,0.94,0.93,0.89,0.92,0.92,0.92,0.99,0.72,0.76
tango-cs.csv,0.73,0.45,0.59,0.96,0.7,0.96,0.45,0.84,0.8,1.0,0.61,0.68,0.52,0.85,0.67,0.82,0.42,0.63,0.55
xemeiah.csv,0.52,0.81,0.76,0.63,0.58,0.86,0.87,0.82,0.78,0.95,0.4,0.47,0.41,0.85,0.64,1.01,0.39,0.53,0.83
zscreen.csv,0.51,0.81,0.46,0.37,0.5,0.69,0.76,0.71,0.69,0.9,0.71,0.51,0.37,0.85,0.65,0.82,0.65,0.65,0.79
