,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.2,0.95,0.14,0.45,0.44,0.44,0.44,0.23,0.72,0.65,0.47,0.84
gwanted.csv,0.48,0.61,0.29,0.53,0.25,0.66,0.37,0.55,0.21,0.0,0.77,0.0
ivatamasks.csv,0.49,0.8,0.16,0.83,0.7,0.55,0.52,0.38,0.81,0.7,0.75,0.81
java-gnome.csv,0.6,0.42,0.16,0.45,0.65,0.21,0.23,0.25,0.85,0.27,0.4,0.65
orc.csv,0.0,0.65,0.49,0.46,0.09,0.57,0.34,0.29,0.22,0.0,0.3,0.53
plato.csv,0.42,0.99,0.15,0.77,0.75,0.89,0.53,0.32,0.33,0.71,0.84,0.78
rodin-b-sharp.csv,0.69,0.58,0.4,0.23,0.21,0.76,0.8,0.2,0.87,0.0,0.37,0.57
tycho.csv,0.09,0.69,0.24,0.56,0.48,0.38,0.22,0.37,0.55,0.76,0.69,0.26
umber.csv,0.81,0.86,0.19,0.82,0.65,0.9,0.54,0.26,0.88,0.33,0.71,0.79
unicase.csv,0.64,0.93,0.21,0.73,0.47,0.9,0.58,0.35,0.86,0.38,0.79,0.7
vienna-add-in.csv,0.27,0.7,0.14,0.67,0.75,0.54,0.33,0.29,0.24,0.66,0.44,0.4
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.53,0.26,0.86,0.72,0.84,0.71
