,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.16,0.92,0.56,0.32,0.31,0.29,0.63,0.43,0.67,0.86,0.33,0.81
gwanted.csv,0.63,0.44,0.62,0.42,0.14,0.55,0.32,0.75,0.12,0.0,0.78,0.0
ivatamasks.csv,0.89,0.67,0.69,0.78,0.77,0.43,0.81,0.82,0.81,0.91,0.78,0.97
java-gnome.csv,0.89,0.27,0.38,0.31,0.67,0.12,0.19,0.54,0.77,0.17,0.28,0.64
orc.csv,0.0,0.48,0.88,0.33,0.05,0.43,0.33,0.32,0.14,0.0,0.18,0.39
plato.csv,1.0,0.99,0.75,0.86,0.87,0.83,0.92,0.71,0.21,1.0,0.99,0.91
rodin-b-sharp.csv,0.53,0.41,0.44,0.14,0.12,0.69,0.82,0.39,0.86,0.0,0.24,0.53
tycho.csv,0.11,0.54,0.38,0.48,0.34,0.24,0.25,0.39,0.4,0.71,0.68,0.16
umber.csv,0.89,0.77,1.0,0.96,0.65,0.98,0.99,0.79,1.0,0.26,0.63,0.98
unicase.csv,0.84,0.88,1.0,0.82,0.39,0.93,0.91,0.86,0.89,0.34,0.76,0.75
vienna-add-in.csv,0.42,0.54,0.56,0.67,0.7,0.4,0.4,0.68,0.16,0.71,0.35,0.31
wpdev.csv,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.82,0.96,1.0,1.0,0.81
