,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.14,0.44,0.31,0.0,0.15,0.2,0.3,0.17,0.2,0.54
bscwweasel.csv,0.0,0.0,0.06,0.04,0.06,0.0,0.0,0.09,0.0,0.12
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
japano.csv,0.58,0.0,0.87,0.48,0.91,0.64,0.48,0.97,0.9,0.48
joustsim.csv,0.04,0.0,0.11,0.04,0.11,0.32,0.0,0.13,0.1,0.29
log4net.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.51,0.78,0.49,0.59,0.28,0.08,0.55,0.79,0.4,0.75
rcp-company-uibindings.csv,0.87,0.78,0.94,0.81,1.0,0.64,0.98,0.92,0.0,0.88
unbvision.csv,0.88,0.89,0.83,0.59,0.0,0.92,0.8,0.83,1.0,0.79
