,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.74,0.58,0.51,0.5,0.36,0.82,0.35,0.66,0.64,0.37,0.69,0.9,0.5
bscwweasel.csv,0.0,0.67,0.95,0.95,0.75,0.92,0.9,0.65,0.93,0.67,0.93,0.0,0.8
capcode.csv,0.93,0.84,0.85,0.96,0.5,0.82,0.88,0.9,0.89,0.95,0.83,0.86,0.76
emite.csv,0.75,0.47,0.48,0.6,0.4,0.76,0.4,0.47,0.54,0.36,0.59,0.57,0.42
extprosys.csv,0.27,0.73,0.56,0.57,0.61,0.76,0.61,0.64,0.39,0.72,0.54,0.45,0.65
lamp.csv,0.0,0.93,0.94,0.86,0.86,0.93,0.83,0.8,0.75,0.75,0.94,0.5,0.7
retromenu.csv,0.94,0.71,0.82,0.92,0.58,0.93,0.44,0.45,0.92,0.54,0.95,0.75,0.86
smbopensoft.csv,0.45,0.67,0.6,0.9,0.56,0.94,0.92,0.89,0.96,0.85,0.63,0.86,0.0
snakeyaml.csv,0.93,0.62,0.95,0.65,0.49,0.64,0.61,0.65,0.53,0.93,0.96,0.44,0.5
stuproa-cims.csv,0.28,0.58,0.57,0.57,0.36,0.74,0.38,0.5,0.77,0.8,0.47,0.56,0.44
ta3d.csv,0.28,0.53,0.58,0.51,0.42,0.58,0.4,0.32,0.38,0.41,0.58,0.39,0.43
thout.csv,0.95,0.63,0.77,0.71,0.47,0.87,0.48,0.47,0.51,0.49,0.59,0.51,0.67
vrjuggler.csv,0.41,0.67,0.88,0.98,0.94,0.0,0.94,0.0,0.59,0.94,0.92,0.71,0.86
