,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.46,0.53,0.43,0.71,0.8,0.32,0.59,0.96,0.29,0.3,0.66,0.16,0.47
bscwweasel.csv,0.01,0.0,0.29,1.0,0.38,0.1,0.1,0.4,0.18,0.07,0.3,0.0,0.13
capcode.csv,0.04,0.45,0.33,0.18,0.0,0.43,0.72,0.33,0.13,0.14,0.22,0.12,0.39
emite.csv,0.26,0.57,0.64,0.44,0.68,0.35,0.55,0.7,0.39,0.09,0.57,0.98,0.4
extprosys.csv,0.0,0.45,0.36,0.45,0.16,0.93,0.54,0.65,0.13,0.45,0.35,0.42,0.4
lamp.csv,0.01,1.0,0.13,0.18,0.23,0.11,0.2,0.0,0.06,0.07,0.3,0.04,0.27
retromenu.csv,0.12,0.25,0.37,0.29,0.92,0.13,0.53,0.43,0.24,0.14,0.38,0.12,0.2
smbopensoft.csv,0.93,0.53,0.43,0.24,0.64,0.05,0.2,0.17,0.13,0.36,0.52,0.16,0.04
snakeyaml.csv,0.15,0.43,0.24,0.54,0.53,0.59,0.51,0.45,0.46,0.29,0.97,0.43,0.22
stuproa-cims.csv,0.09,0.64,0.5,0.49,0.49,0.3,0.61,0.0,0.96,0.28,0.66,0.46,0.49
ta3d.csv,0.24,0.44,0.61,0.61,0.57,0.52,0.5,0.65,0.49,0.45,0.52,0.37,0.96
thout.csv,0.28,0.56,0.96,0.28,0.55,0.2,0.51,0.46,0.48,0.49,0.52,0.59,0.46
vrjuggler.csv,0.49,0.0,0.3,0.23,0.28,0.0,0.1,0.0,0.45,0.89,0.18,0.51,0.2
