,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.69,0.33,0.2,0.35,0.54,0.46,0.42,0.58,0.53,0.68,0.58,0.43,0.78,0.68,0.77,0.68,0.25,0.76
cornerstone.csv,0.53,0.28,0.32,0.44,0.35,0.42,0.0,0.35,0.06,0.06,0.7,0.53,0.46,0.54,0.21,0.58,0.31,0.16
emeraldemu.csv,0.56,0.32,0.17,0.27,0.24,0.29,0.44,0.66,0.45,0.59,0.58,0.18,0.34,0.0,0.64,0.61,0.21,0.73
grafx2.csv,0.65,0.3,0.17,0.35,0.49,0.45,0.43,0.59,0.46,0.68,0.61,0.51,0.68,0.77,0.81,0.69,0.17,0.65
jahshakafx.csv,0.69,0.35,0.18,0.34,0.48,0.36,0.47,0.59,0.54,0.6,0.6,0.39,0.71,0.77,0.76,0.71,0.24,0.81
maya-work-in-progress.csv,0.49,0.29,0.16,0.3,0.87,0.69,0.45,0.51,0.57,0.78,0.7,0.5,0.85,0.71,0.79,0.73,0.07,0.8
novembre.csv,0.67,0.33,0.17,0.22,0.31,0.42,0.5,0.51,0.53,0.46,0.55,0.53,0.29,0.62,0.63,0.7,0.26,0.57
ns-3.csv,0.5,0.3,0.04,0.3,0.49,0.74,0.42,0.27,0.43,0.42,0.56,0.44,0.79,0.64,0.67,0.73,0.07,0.69
nullc.csv,0.51,0.21,0.11,0.22,0.81,0.65,0.48,0.5,0.51,0.48,0.62,0.36,0.74,0.72,0.76,0.71,0.17,0.79
open-beos.csv,0.65,0.3,0.2,0.29,0.63,0.6,0.44,0.52,0.62,0.55,0.39,0.43,0.77,0.7,0.78,0.73,0.12,0.73
pixel-commandos.csv,0.07,0.2,0.1,0.19,0.28,0.23,0.5,0.29,0.22,0.12,0.1,0.06,0.24,0.48,0.56,0.45,0.57,0.31
planeshift.csv,0.47,0.22,0.12,0.23,0.81,0.7,0.43,0.55,0.58,0.6,0.63,0.43,0.8,0.74,0.79,0.7,0.1,0.84
plee-the-bear.csv,0.62,0.28,0.28,0.06,0.56,0.65,0.43,0.38,0.55,0.71,0.52,0.4,0.68,0.6,0.62,0.56,0.12,0.73
reaper-ecad.csv,0.58,0.21,0.17,0.39,0.39,0.06,0.0,0.45,0.24,0.06,0.37,0.0,0.37,0.0,0.4,0.53,0.4,0.22
sbml.csv,0.62,0.32,0.15,0.33,0.56,0.66,0.45,0.5,0.59,0.57,0.72,0.54,0.8,0.68,0.79,0.69,0.12,0.4
unimrcp.csv,0.55,0.26,0.16,0.31,0.56,0.57,0.46,0.58,0.54,0.66,0.63,0.55,0.7,0.62,0.71,0.68,0.12,0.86
unladen-swallow.csv,0.32,0.3,0.21,0.06,0.27,0.45,0.33,0.37,0.46,0.55,0.33,0.5,0.5,0.55,0.31,0.58,0.11,0.31
zxing.csv,0.6,0.29,0.19,0.31,0.5,0.37,0.34,0.54,0.45,0.31,0.49,0.0,0.67,0.24,0.63,0.69,0.21,0.82
