,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.5,0.13,0.48,0.74,0.42,0.55,0.54,0.77,0.33,0.32,0.09,0.47
gamestone.csv,0.88,0.42,0.28,0.35,0.05,0.03,0.69,0.09,0.87,0.09,0.04,0.27
geochat.csv,0.0,0.52,0.04,0.3,0.29,0.21,0.54,0.05,0.4,0.32,0.31,0.53
igarden.csv,0.38,0.68,0.32,0.74,0.41,0.45,0.19,0.86,0.27,0.41,0.56,0.33
ingex.csv,0.5,0.19,0.6,0.7,0.86,0.41,0.19,0.45,0.53,0.77,0.75,0.4
lphant.csv,0.75,0.42,0.8,0.7,0.59,0.93,0.92,0.64,0.73,0.59,0.69,0.8
nabu-library.csv,0.5,0.42,0.32,0.17,0.88,0.93,0.0,0.18,0.0,0.18,0.53,0.23
nebuladevice.csv,0.75,0.13,0.0,0.57,0.65,0.21,0.08,0.05,0.8,0.45,0.71,0.0
owlapi.csv,0.0,0.19,0.8,0.22,0.87,0.66,0.12,0.59,0.13,0.68,0.36,0.5
pi-qmc.csv,0.88,0.68,0.52,0.48,0.48,0.55,0.85,0.91,0.8,0.91,0.65,0.73
trinitycore.csv,0.62,0.81,0.0,0.52,0.13,0.21,0.23,0.14,0.8,0.27,0.69,0.27
twostep.csv,0.62,0.87,1.0,0.96,0.92,0.76,0.85,0.86,0.6,0.68,0.71,0.77
