,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.91,0.8,0.6,0.0,0.52,0.96,0.89,0.48,0.73,0.68,0.55,0.65,0.0,0.66,0.71
atlc.csv,0.42,0.51,0.38,0.86,0.36,0.37,0.44,0.41,0.43,0.56,0.42,0.33,0.31,0.37,0.48
bwapi.csv,0.38,0.43,0.49,0.46,0.36,0.39,0.46,0.81,0.48,0.56,0.54,0.83,0.42,0.45,0.51
cubefs.csv,0.89,0.43,0.43,0.57,0.55,0.4,0.55,0.49,0.51,0.77,0.63,0.6,0.63,0.59,0.53
freewrl.csv,0.65,0.89,0.42,0.89,0.67,0.82,0.57,0.57,0.53,0.6,0.68,0.44,0.91,0.68,0.71
iaml.csv,0.45,0.42,0.55,0.5,0.46,0.4,0.57,0.92,0.6,0.63,0.46,0.65,0.47,0.49,0.44
jrdf.csv,0.71,0.41,0.93,0.0,0.92,0.4,0.49,0.95,0.75,0.89,0.93,0.88,0.86,0.48,0.57
kwave.csv,0.93,0.53,0.57,0.0,0.76,0.44,0.59,0.71,0.6,0.8,0.71,0.5,0.58,0.53,0.62
oscarmcmaster.csv,0.91,0.67,0.8,0.0,0.9,0.96,0.76,0.52,0.75,0.8,0.93,0.42,0.86,0.98,0.66
rtrt-on-gpu.csv,0.7,0.87,0.5,0.86,0.92,0.94,0.97,0.8,0.88,0.91,0.81,0.8,0.76,0.77,0.73
theresa.csv,0.0,0.0,0.67,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.5
thrust.csv,0.74,0.89,0.62,0.82,0.93,0.81,0.75,0.94,0.78,0.86,0.93,0.92,0.9,0.84,0.93
tktoolkit.csv,0.63,0.92,0.52,0.48,0.62,0.95,0.58,0.51,0.74,0.74,0.76,0.36,0.68,0.63,0.97
xstore.csv,0.67,0.88,0.43,0.71,0.52,0.83,0.43,0.44,0.69,0.63,0.52,0.43,0.58,0.53,0.67
yaprm.csv,0.84,0.5,0.9,0.55,0.56,0.0,0.98,0.95,0.8,0.86,0.85,0.79,0.62,0.97,0.82
