,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.0,0.0,11.0,63.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0,73.0,1.0,0.0
atlc.csv,0.0,0.0,20.0,2.0,1.0,5.0,0.0,0.0,8.0,0.0,1.0,2.0,24.0,2.0,0.0
bwapi.csv,0.0,0.0,37.0,1.0,0.0,3.0,0.0,0.0,8.0,0.0,3.0,1.0,18.0,0.0,33.0
cubefs.csv,0.0,0.0,32.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,12.0,3.0,2.0
freewrl.csv,0.0,0.0,18.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0
iaml.csv,2.0,0.0,20.0,63.0,1.0,3.0,0.0,1.0,6.0,0.0,2.0,3.0,17.0,4.0,0.0
jrdf.csv,0.0,0.0,52.0,63.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0
kwave.csv,0.0,1.0,25.0,63.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,13.0,1.0
oscarmcmaster.csv,2.0,2.0,4.0,63.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,1.0
rtrt-on-gpu.csv,13.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0
theresa.csv,71.0,69.0,0.0,63.0,74.0,177.0,0.0,110.0,57.0,0.0,0.0,50.0,73.0,224.0,0.0
thrust.csv,12.0,0.0,52.0,0.0,0.0,8.0,0.0,2.0,3.0,0.0,4.0,5.0,4.0,3.0,9.0
tktoolkit.csv,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,6.0,9.0,1.0
xstore.csv,3.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,12.0,2.0,1.0
yaprm.csv,9.0,0.0,9.0,8.0,0.0,177.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,18.0,19.0
