,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.27,0.73,0.2,0.0,0.52,0.21,0.74,0.75,0.09,0.68,0.69,0.47,0.0,0.37,1.0
atlc.csv,0.26,1.0,0.12,0.29,0.53,0.12,0.53,0.72,0.2,0.78,0.63,0.58,0.21,0.23,0.35
bwapi.csv,0.23,0.61,0.07,0.29,0.53,0.13,0.48,0.84,0.16,1.0,0.51,0.5,0.21,0.26,0.23
cubefs.csv,0.33,0.59,0.06,0.26,0.55,0.13,0.52,1.0,0.14,0.87,0.7,0.67,0.26,0.26,0.37
freewrl.csv,0.3,0.78,0.05,0.56,0.48,0.21,0.62,0.74,0.18,0.57,0.55,1.0,0.27,0.11,0.47
iaml.csv,0.26,0.59,0.05,0.0,0.43,0.13,0.99,0.69,0.2,0.78,0.71,0.53,0.19,0.19,0.54
jrdf.csv,0.33,0.59,0.0,0.0,0.33,0.13,0.44,1.0,0.3,0.67,0.53,0.5,1.0,0.21,0.33
kwave.csv,1.0,0.71,0.07,0.0,0.57,0.13,0.58,0.81,0.07,0.48,0.63,1.0,0.47,0.21,0.38
oscarmcmaster.csv,0.45,0.33,0.2,0.0,0.5,0.12,0.49,0.6,0.25,0.8,0.29,0.55,0.43,1.0,0.19
rtrt-on-gpu.csv,0.09,0.67,0.5,0.29,0.75,0.28,0.58,0.6,1.0,0.71,0.5,0.8,0.19,0.21,0.18
theresa.csv,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
thrust.csv,0.16,0.67,0.0,0.94,0.53,0.22,0.6,0.65,0.28,0.93,0.37,0.38,0.3,0.19,0.07
tktoolkit.csv,0.21,0.5,0.04,0.26,0.58,1.0,0.61,0.68,0.22,0.66,0.41,0.51,0.23,0.17,0.1
xstore.csv,0.28,0.88,0.1,0.29,0.48,0.17,0.52,0.71,0.12,0.79,1.0,0.62,0.23,0.22,0.46
yaprm.csv,0.11,0.5,0.1,0.21,1.0,0.0,0.55,0.62,0.8,0.86,0.69,0.5,0.18,0.15,0.24
