,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.19,0.29,0.17,0.0,0.04,0.32,0.11,0.27,0.2,0.05,0.41,0.19
gamestone.csv,0.0,0.12,0.08,0.07,0.03,0.04,0.04,0.0,0.13,0.0,0.06,0.07
geochat.csv,0.19,0.54,0.24,0.42,0.94,0.72,0.96,0.18,0.68,0.23,0.4,0.0
igarden.csv,0.31,0.01,0.07,0.33,0.8,0.56,0.47,0.24,0.3,0.3,0.42,0.34
ingex.csv,0.1,0.15,0.24,0.51,0.11,0.0,0.02,0.27,0.14,0.09,0.15,0.36
lphant.csv,0.73,0.68,0.75,0.91,0.95,0.72,0.87,0.0,0.75,0.71,0.59,0.49
nabu-library.csv,0.69,0.71,0.54,0.53,0.0,0.84,0.87,0.97,0.82,0.62,0.87,0.74
nebuladevice.csv,0.08,0.03,0.0,0.07,0.03,0.06,0.07,0.09,0.0,0.07,0.05,0.03
owlapi.csv,0.0,0.03,0.0,0.11,0.53,0.06,0.07,0.0,0.0,0.02,0.04,0.02
pi-qmc.csv,0.17,0.36,0.23,0.38,0.22,0.56,0.27,0.42,0.39,0.0,0.35,0.38
trinitycore.csv,0.13,0.21,0.35,0.62,0.82,0.42,0.62,0.03,0.23,0.09,0.0,0.23
twostep.csv,0.27,0.64,0.76,0.8,0.99,0.68,0.0,0.79,0.59,0.36,0.54,0.57
