,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.73,0.96,0.96,0.73,0.95,0.89,0.9,0.87,0.93,0.83,0.57,0.96
gamestone.csv,0.88,0.91,0.92,0.86,0.91,0.9,0.86,0.0,0.91,0.5,0.93,0.91
geochat.csv,0.75,0.39,0.62,0.54,0.6,0.32,0.44,0.67,0.34,0.5,0.45,0.82
igarden.csv,0.88,0.74,0.94,0.63,0.77,0.49,0.82,0.87,0.79,0.55,0.73,0.77
ingex.csv,0.83,0.93,0.74,0.45,0.83,0.59,0.8,0.77,0.92,0.69,0.97,0.78
lphant.csv,0.44,0.35,0.54,0.37,0.62,0.37,0.45,0.52,0.33,0.47,0.43,0.57
nabu-library.csv,0.41,0.37,0.56,0.5,0.59,0.37,0.53,0.38,0.35,0.46,0.47,0.46
nebuladevice.csv,0.8,0.5,0.0,0.8,0.83,0.83,0.67,0.67,0.93,0.83,0.94,0.67
owlapi.csv,0.0,0.5,0.92,0.9,0.95,0.89,0.89,0.0,0.5,0.8,0.93,0.67
pi-qmc.csv,0.77,0.56,0.5,0.52,0.43,0.37,0.38,0.39,0.52,0.59,0.49,0.48
trinitycore.csv,0.8,0.67,0.84,0.53,0.75,0.53,0.66,0.0,0.83,0.83,0.81,0.94
twostep.csv,0.65,0.41,0.55,0.41,0.59,0.37,0.5,0.33,0.36,0.44,0.44,0.44
