,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.42,0.86,0.82,0.04,0.82,0.95,0.82,0.78,1.02,0.59,0.68,0.82
gamestone.csv,0.0,0.94,0.92,0.87,0.92,0.73,0.81,1.0,0.88,0.91,0.91,0.87
geochat.csv,0.77,0.65,0.65,0.57,0.97,0.75,0.96,0.75,0.82,0.39,0.56,0.07
igarden.csv,1.05,0.16,0.72,0.58,0.9,0.66,0.87,0.72,0.85,0.47,0.76,0.72
ingex.csv,0.88,0.88,0.65,0.7,0.82,0.07,0.85,0.86,0.88,0.64,0.96,0.73
lphant.csv,0.74,0.77,0.75,0.92,1.0,0.73,0.87,0.05,0.76,0.75,0.61,0.7
nabu-library.csv,0.69,0.73,0.87,0.59,0.0,0.85,0.95,0.99,0.82,0.64,0.88,0.78
nebuladevice.csv,0.88,1.0,0.96,0.96,0.97,0.9,1.0,1.0,0.07,0.91,0.87,1.0
owlapi.csv,1.0,1.0,0.04,0.83,1.06,0.8,0.77,0.95,0.87,0.82,0.84,0.97
pi-qmc.csv,0.53,0.58,0.5,0.61,0.63,0.62,0.44,0.56,0.77,0.0,0.54,0.53
trinitycore.csv,0.64,0.65,0.63,0.71,0.89,0.69,0.96,1.0,0.9,0.96,0.05,0.77
twostep.csv,0.68,0.73,0.76,0.87,1.0,0.71,0.08,0.79,0.65,0.45,0.6,0.61
