,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.62,0.19,0.2,0.96,0.18,0.1,0.19,0.27,0.0,0.41,0.45,0.2
gamestone.csv,1.0,0.06,0.08,0.13,0.08,0.28,0.19,0.0,0.13,0.09,0.09,0.13
geochat.csv,0.25,0.65,0.4,0.61,0.76,0.79,0.96,0.27,0.53,0.68,0.6,0.93
igarden.csv,0.0,0.84,0.28,0.52,0.59,0.66,0.27,0.32,0.2,0.64,0.36,0.37
ingex.csv,0.12,0.13,0.4,0.52,0.19,0.93,0.15,0.18,0.13,0.36,0.05,0.37
lphant.csv,0.88,0.65,0.92,0.87,0.68,0.9,1.0,0.95,0.87,0.77,0.82,0.5
nabu-library.csv,1.0,0.81,0.32,0.74,1.0,0.86,0.62,0.82,0.93,0.86,0.87,0.77
nebuladevice.csv,0.12,0.0,0.04,0.04,0.03,0.1,0.0,0.0,0.93,0.09,0.13,0.0
owlapi.csv,0.0,0.0,0.96,0.17,0.08,0.21,0.23,0.05,0.13,0.18,0.16,0.03
pi-qmc.csv,0.5,0.55,0.56,0.52,0.4,0.72,0.65,0.64,0.33,1.0,0.58,0.63
trinitycore.csv,0.38,0.39,0.48,0.65,0.64,0.45,0.27,0.0,0.13,0.05,0.95,0.27
twostep.csv,0.38,0.65,1.0,0.65,0.83,0.79,0.92,1.0,0.73,0.73,0.73,0.8
