,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.43,0.21,0.19,0.98,0.3,0.12,0.28,0.32,0.0,0.53,0.34,0.22
gamestone.csv,1.0,0.1,0.11,0.2,0.15,0.41,0.3,0.0,0.15,0.17,0.14,0.2
geochat.csv,0.2,0.44,0.3,0.47,0.57,0.52,0.53,0.35,0.23,0.6,0.43,0.97
igarden.csv,0.0,0.9,0.34,0.45,0.5,0.5,0.26,0.38,0.15,0.53,0.27,0.3
ingex.csv,0.14,0.17,0.3,0.38,0.3,0.96,0.26,0.23,0.15,0.46,0.07,0.29
lphant.csv,0.26,0.4,0.32,0.43,0.53,0.57,0.57,0.98,0.32,0.43,0.45,0.32
nabu-library.csv,0.31,0.47,0.15,0.49,1.0,0.52,0.4,0.5,0.32,0.5,0.38,0.37
nebuladevice.csv,0.15,0.0,0.08,0.07,0.06,0.17,0.0,0.0,0.97,0.14,0.2,0.0
owlapi.csv,0.0,0.0,0.98,0.24,0.1,0.32,0.34,0.09,0.24,0.3,0.26,0.06
pi-qmc.csv,0.38,0.46,0.41,0.43,0.5,0.54,0.62,0.56,0.21,1.0,0.44,0.44
trinitycore.csv,0.33,0.41,0.29,0.42,0.53,0.41,0.23,0.0,0.12,0.07,0.97,0.26
twostep.csv,0.24,0.41,0.34,0.37,0.6,0.53,0.96,0.63,0.32,0.55,0.43,0.44
