,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,nunit.csv
calcubetimer.csv,0.38,0.49,0.37,0.44,0.43,0.37
chaperon.csv,0.96,0.89,0.94,0.75,0.86,0.96
mule.csv,0.47,0.95,0.74,0.8,0.59,0.72
nunit.csv,0.57,0.62,0.59,0.8,0.54,0.89
springside.csv,0.36,0.58,0.5,0.43,0.43,0.47
swtfox.csv,0.92,0.98,0.72,0.92,0.89,0.94
