,arcallians.csv,aztec.csv,synergyspace.csv,qmmp.csv,xtreemfs.csv,mplayer-ce.csv
arcallians.csv,1.0,0.42,0.58,0.29,0.77,0.55
aztec.csv,0.16,1.0,0.19,0.08,0.28,0.01
mplayer-ce.csv,0.8,0.71,0.81,0.62,0.56,0.96
qmmp.csv,0.7,0.54,0.5,0.98,0.9,0.94
synergyspace.csv,0.2,0.04,1.0,0.1,0.35,0.17
xtreemfs.csv,0.66,0.58,0.73,0.44,1.0,0.85
