,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.45,0.35,0.31,0.51,0.41,0.41
lazarus-ccr.csv,0.54,0.6,0.5,0.57,0.46,0.53
lcfizvtop.csv,0.43,0.92,0.9,0.53,0.89,0.56
migen.csv,0.64,0.56,0.73,0.8,0.75,0.74
mvnforum.csv,0.67,0.91,0.81,0.0,0.88,0.98
plplot.csv,0.35,0.39,0.34,0.71,0.69,0.44
