,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.78,1.0,0.51,0.69,0.65,1.0,0.76,0.53,1.0,0.58,0.4,1.0,0.93,1.0,0.53,0.52,0.35,0.91,0.89,0.52
badtrinity-zero.csv,0.84,1.0,0.49,0.46,0.65,1.0,0.84,0.5,0.56,0.75,0.96,0.78,0.91,1.0,0.67,0.65,0.55,1.0,0.55,0.63
boost.csv,0.64,0.64,0.47,0.56,0.62,0.41,0.79,0.53,0.49,0.56,0.78,0.47,0.59,0.62,0.62,0.64,0.55,0.57,0.57,0.58
critterding.csv,0.68,0.47,0.95,0.88,0.89,0.76,0.97,0.85,0.56,0.89,0.89,0.66,0.9,0.68,0.94,0.58,0.87,0.43,0.95,0.92
enzo.csv,0.85,0.87,0.5,0.96,0.76,0.79,0.92,0.62,1.03,0.92,0.88,0.96,0.63,0.61,0.82,0.92,0.58,0.33,0.9,0.93
etics.csv,0.61,0.66,0.36,0.62,0.59,0.49,0.82,0.46,0.53,0.54,0.45,0.56,0.66,0.48,0.5,0.46,0.58,0.68,0.63,0.46
fmri-dmt.csv,0.75,0.83,0.83,0.85,0.76,0.95,0.95,0.83,0.75,0.86,0.88,0.88,0.73,0.88,0.77,0.99,0.96,0.98,0.19,0.87
genecys.csv,0.72,0.88,0.96,0.6,0.83,0.73,0.71,0.84,0.32,0.79,0.85,0.82,0.74,1.0,0.71,0.89,0.89,0.87,0.87,0.69
gusanos.csv,0.75,0.76,0.53,0.69,0.78,0.77,0.7,0.75,0.78,0.64,0.75,0.76,1.01,0.32,0.9,0.84,0.41,1.0,0.71,0.64
kftpgrabber.csv,0.99,0.59,0.92,0.74,0.65,0.46,0.9,0.73,0.64,0.5,0.75,0.81,0.69,0.51,0.49,0.69,0.32,0.86,0.93,0.65
kvs.csv,0.74,0.78,0.54,0.66,0.87,0.83,0.35,0.78,0.97,0.66,0.85,0.68,1.01,0.75,0.58,0.64,0.87,0.36,0.9,0.77
mcore3d.csv,0.95,0.73,0.85,0.68,0.52,0.5,0.7,0.57,0.79,0.57,0.66,0.82,0.5,0.64,0.67,0.66,0.52,0.89,0.69,0.61
modplug.csv,0.74,0.69,0.95,0.73,0.92,0.75,0.76,0.73,0.57,0.81,0.86,0.74,0.98,0.67,0.96,0.36,0.82,0.42,0.95,0.82
monetdb.csv,0.64,0.65,0.92,0.7,0.57,0.64,1.01,0.82,0.65,0.33,0.54,0.74,0.72,0.57,0.61,0.58,0.51,0.93,0.84,0.61
ogrehg.csv,0.64,0.59,0.44,0.58,0.58,0.47,0.84,0.46,0.41,0.49,0.65,0.55,0.64,0.52,0.49,0.57,0.45,0.87,0.57,0.59
passwordsafe.csv,0.66,0.57,0.66,0.54,0.66,0.51,0.83,0.48,0.39,0.52,0.74,0.62,0.53,0.63,0.48,0.43,0.59,0.74,0.86,0.43
projecteqemu.csv,0.55,0.61,0.55,0.64,0.63,0.54,0.9,0.5,0.57,0.55,0.69,0.72,0.54,0.58,0.35,0.53,0.41,0.46,0.52,0.48
quarkplayer.csv,0.82,0.88,0.7,0.74,0.88,0.89,0.74,0.87,0.97,0.96,0.85,0.65,0.52,0.93,0.6,0.82,0.88,0.64,0.6,0.87
reactos-mirror.csv,0.46,0.57,0.98,0.6,0.7,0.51,0.72,0.72,0.61,0.51,0.6,0.61,0.62,0.73,0.55,0.5,0.47,0.55,0.68,0.49
xbplayer.csv,0.74,0.56,0.63,0.54,0.64,0.44,0.77,0.62,0.5,0.42,0.59,0.52,0.62,0.65,0.67,0.72,0.6,0.88,0.51,0.56
