,robocode.csv,zildo.csv,customsagetv.csv,myfaces.csv,k3b.csv
customsagetv.csv,0.04,0.48,0.92,0.15,0.26
k3b.csv,0.87,0.89,0.96,0.96,0.72
myfaces.csv,0.22,0.91,0.37,0.71,0.43
robocode.csv,0.7,0.82,0.63,0.69,0.62
zildo.csv,0.35,0.68,0.81,0.38,0.5
