,xbrlapi.csv,vdsf.csv,codeblocks.csv,ldview.csv,red5.csv,bulmages.csv,ctrlr.csv,ipfire-wall.csv,t-2.csv,libmesh.csv,free-evolution.csv,xcf.csv,l2j.csv,jruby.csv,tencompetence.csv,fulguro.csv,gisgraphy.csv
bulmages.csv,0.13,0.0,0.0,0.32,0.0,0.93,0.0,0.36,0.05,0.12,0.2,0.12,0.04,0.0,0.06,0.0,0.32
codeblocks.csv,0.52,0.16,1.0,0.49,0.59,0.21,0.47,0.46,0.28,0.57,0.36,0.54,0.23,0.51,0.34,0.23,0.29
ctrlr.csv,0.08,0.0,0.31,0.12,0.0,0.17,0.98,0.24,0.06,0.07,0.26,0.21,0.09,0.15,0.14,0.21,0.22
free-evolution.csv,0.35,0.16,0.52,0.28,0.23,0.06,0.0,0.29,0.27,0.11,0.95,0.43,0.19,0.46,0.1,0.0,0.18
fulguro.csv,0.13,0.02,0.23,0.23,0.16,0.24,0.23,0.32,0.13,0.07,0.0,0.0,0.29,0.0,0.12,0.95,0.07
gisgraphy.csv,0.46,0.02,0.61,0.58,0.32,0.22,0.46,0.29,0.31,0.49,0.34,0.63,0.14,0.15,0.12,0.2,0.98
ipfire-wall.csv,0.49,0.26,0.56,0.36,0.62,0.34,0.4,0.97,0.21,0.56,0.31,0.42,0.58,0.55,0.53,0.25,0.32
jruby.csv,0.55,0.18,0.76,0.28,0.7,0.04,0.34,0.0,0.19,0.16,0.24,0.45,0.61,1.0,0.36,0.0,0.29
l2j.csv,0.6,0.13,0.73,0.48,0.69,0.37,0.22,0.44,0.26,0.36,0.35,0.7,0.99,0.65,0.49,0.24,0.37
ldview.csv,0.65,0.17,0.57,0.98,0.49,0.26,0.26,0.6,0.24,0.53,0.29,0.4,0.47,0.56,0.36,0.2,0.4
libmesh.csv,0.51,0.23,0.24,0.42,0.58,0.35,0.22,0.31,0.2,0.86,0.21,0.47,0.61,0.4,0.57,0.27,0.41
red5.csv,0.57,0.15,0.56,0.41,0.98,0.23,0.44,0.16,0.3,0.49,0.4,0.63,0.57,0.6,0.58,0.1,0.55
t-2.csv,0.42,0.13,0.48,0.51,0.12,0.26,0.41,0.37,0.97,0.38,0.25,0.33,0.2,0.22,0.41,0.13,0.35
tencompetence.csv,0.42,0.14,0.05,0.0,0.46,0.18,0.18,0.37,0.05,0.31,0.08,0.14,0.41,0.64,0.98,0.26,0.11
vdsf.csv,0.59,0.8,0.75,0.43,0.5,0.41,0.36,0.49,0.13,0.35,0.35,0.44,0.6,0.63,0.54,0.19,0.37
xbrlapi.csv,0.96,0.14,0.5,0.43,0.67,0.37,0.25,0.55,0.13,0.43,0.3,0.38,0.43,0.55,0.59,0.22,0.41
xcf.csv,0.48,0.17,0.57,0.36,0.59,0.16,0.22,0.28,0.27,0.25,0.32,0.98,0.31,0.45,0.22,0.1,0.4
