,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.24,0.58,0.6,0.14,0.18,0.0,0.55,0.41,0.79,0.1,0.4
avisynth2.csv,0.21,0.0,0.04,0.21,0.12,0.99,0.0,0.0,0.0,0.0,0.0
coot.csv,0.0,0.37,0.49,0.35,0.37,0.0,0.52,0.56,0.35,0.72,0.53
dsworkbench.csv,0.79,0.16,0.12,0.15,0.24,0.0,0.2,0.12,0.29,0.1,0.17
freelords.csv,0.53,0.48,0.62,0.71,0.6,0.3,0.09,0.69,0.38,0.55,0.45
gephex.csv,0.24,0.53,0.61,0.57,0.47,0.0,0.67,0.5,0.4,0.54,0.2
jas.csv,0.26,0.5,0.35,0.33,0.24,0.7,0.4,0.61,0.88,0.37,0.34
jpaul.csv,0.38,0.0,0.12,0.85,0.39,0.37,0.0,0.07,0.79,0.02,0.0
ngl.csv,0.4,0.47,0.66,0.63,0.6,0.69,0.34,0.65,0.63,0.73,0.48
scenemonitor.csv,0.56,0.41,0.42,0.51,0.72,0.0,0.47,0.49,0.15,0.14,0.04
synecdoche.csv,0.61,0.37,0.67,0.5,0.57,0.0,0.48,0.28,0.14,0.52,0.7
