,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.39,0.68,0.44,0.73,0.83,0.4,0.36,0.71,0.41,0.88,0.37
avisynth2.csv,0.9,0.0,0.5,0.8,0.67,0.86,0.5,0.5,0.88,0.0,0.0
coot.csv,0.0,0.51,0.62,0.49,0.35,0.75,0.39,0.49,0.59,0.41,0.39
dsworkbench.csv,0.48,0.9,0.88,0.8,0.88,0.8,0.92,0.98,0.92,0.88,0.93
freelords.csv,0.38,0.48,0.46,0.39,0.33,0.42,0.36,0.45,0.41,0.41,0.35
gephex.csv,0.41,0.56,0.42,0.52,0.59,0.47,0.52,0.57,0.43,0.48,0.39
jas.csv,0.93,0.52,0.73,0.94,0.89,0.75,0.59,0.47,0.78,0.67,0.47
jpaul.csv,0.39,0.0,0.92,0.48,0.64,0.92,0.0,0.94,0.6,0.0,0.0
ngl.csv,0.35,0.51,0.39,0.41,0.33,0.67,0.36,0.46,0.47,0.45,0.4
scenemonitor.csv,0.46,0.59,0.67,0.69,0.53,0.67,0.57,0.52,0.93,0.94,0.83
synecdoche.csv,0.4,0.77,0.35,0.43,0.42,0.89,0.49,0.79,0.54,0.43,0.53
