,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,2.0,1.0,0.0,11.0,1.0,35.0,0.0,0.0,12.0,4.0,1.0
avisynth2.csv,0.0,107.0,0.0,0.0,0.0,0.0,111.0,367.0,124.0,76.0,71.0
coot.csv,65.0,0.0,1.0,1.0,0.0,64.0,0.0,0.0,10.0,0.0,5.0
dsworkbench.csv,1.0,0.0,0.0,3.0,0.0,64.0,0.0,0.0,2.0,0.0,2.0
freelords.csv,3.0,0.0,0.0,6.0,9.0,31.0,0.0,0.0,5.0,2.0,5.0
gephex.csv,3.0,3.0,3.0,4.0,8.0,64.0,2.0,0.0,19.0,1.0,3.0
jas.csv,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0
jpaul.csv,4.0,107.0,0.0,1.0,2.0,11.0,111.0,1.0,1.0,0.0,71.0
ngl.csv,1.0,0.0,1.0,12.0,3.0,5.0,0.0,0.0,36.0,2.0,1.0
scenemonitor.csv,3.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4.0,4.0,1.0
synecdoche.csv,0.0,2.0,0.0,11.0,8.0,64.0,0.0,0.0,20.0,4.0,0.0
