,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.5,0.37,0.27,0.36,0.42,0.19,0.0,0.17,0.25,0.33
critterding.csv,0.09,0.0,0.38,0.17,0.29,0.11,0.1,0.19,0.17,0.5
enlightenment.csv,0.42,0.32,0.41,0.02,0.39,0.22,0.29,0.28,0.12,0.3
exordium.csv,0.23,0.15,0.0,0.15,0.59,0.63,0.0,0.6,0.12,0.4
google-caja.csv,0.53,0.54,0.79,0.26,0.49,0.04,0.08,0.59,0.5,0.33
itext.csv,0.57,0.22,0.36,0.64,0.29,0.11,0.65,0.17,0.25,0.03
lockss.csv,0.03,0.15,0.18,0.01,0.0,0.0,0.12,0.07,0.08,0.07
modplug.csv,0.86,0.56,0.55,0.82,0.5,0.48,0.69,0.56,0.0,0.5
reactos-mirror.csv,0.01,0.63,0.7,0.25,0.59,0.81,0.92,0.62,0.5,0.63
yafdotnet.csv,0.71,0.71,0.25,0.81,0.53,0.3,0.06,0.0,0.25,0.57
