,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.57,0.59,0.47,0.52,0.64,0.44,0.95,0.47,0.6,0.68
critterding.csv,0.21,0.91,0.58,0.33,0.23,0.22,0.53,0.44,0.49,0.44
enlightenment.csv,0.54,0.38,0.58,0.99,0.5,0.46,0.68,0.56,0.53,0.35
exordium.csv,0.35,0.44,0.95,0.34,0.73,0.64,0.05,0.61,0.22,0.56
google-caja.csv,0.65,0.53,0.89,0.36,0.59,1.0,0.47,0.81,0.75,0.71
itext.csv,0.66,0.21,0.53,0.65,0.41,0.28,0.47,0.36,0.38,1.0
lockss.csv,0.01,0.15,0.11,0.04,0.91,0.13,0.11,0.19,0.15,0.15
modplug.csv,0.86,0.74,0.89,0.9,0.77,0.72,0.84,0.75,0.98,0.47
reactos-mirror.csv,0.96,0.88,0.95,0.4,0.5,0.72,1.0,0.57,0.6,0.74
yafdotnet.csv,0.79,0.62,0.42,0.83,0.77,0.42,0.37,0.96,0.29,0.85
