,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.66,0.55,0.59,0.6,0.56,0.59,0.05,0.55,0.47,0.46
critterding.csv,0.8,0.09,0.56,0.69,0.83,0.79,0.48,0.59,0.54,0.75
enlightenment.csv,0.62,0.69,0.59,0.02,0.63,0.58,0.43,0.52,0.49,0.71
exordium.csv,0.69,0.58,0.05,0.68,0.65,0.72,0.95,0.72,0.79,0.6
google-caja.csv,0.63,0.71,0.79,0.69,0.64,0.04,0.53,0.62,0.56,0.44
itext.csv,0.67,0.82,0.59,0.73,0.66,0.73,0.84,0.66,0.67,0.03
lockss.csv,0.99,0.87,0.91,0.96,0.09,0.87,0.9,0.81,0.86,0.86
modplug.csv,0.88,0.62,0.56,0.83,0.55,0.56,0.71,0.62,0.02,0.73
reactos-mirror.csv,0.04,0.64,0.7,0.65,0.77,0.86,0.92,0.75,0.64,0.69
yafdotnet.csv,0.74,0.8,0.63,0.82,0.58,0.65,0.63,0.04,0.75,0.59
