,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.01,0.0,0.17,0.37,0.39,0.0,0.79,0.45,0.67,0.76,0.07,0.58,0.53,0.87,0.24,0.43,0.6,0.75,0.73,0.78
bibletime.csv,0.43,0.44,0.9,0.45,0.68,0.29,0.62,0.62,0.44,0.51,0.53,0.5,0.53,0.97,0.58,0.14,0.5,0.43,0.87,0.96
critterding.csv,0.55,0.32,0.98,0.85,0.86,0.64,0.96,0.82,0.56,0.87,0.91,0.5,0.87,0.76,0.98,1.0,0.9,0.82,0.91,0.83
etics.csv,0.12,0.32,0.17,0.12,0.39,0.32,0.09,0.16,0.33,0.36,0.36,0.08,0.47,0.11,0.32,0.14,0.07,0.09,0.42,0.48
fmri-dmt.csv,0.69,0.76,0.76,0.77,0.68,0.95,0.51,0.76,0.56,0.42,0.49,0.92,0.73,0.95,0.18,0.86,0.73,0.75,0.76,0.37
genecys.csv,0.66,0.78,0.88,0.43,0.81,0.54,0.61,0.77,0.22,0.74,0.42,0.88,0.87,0.68,0.84,0.71,0.38,0.59,0.58,0.91
genoviz.csv,0.03,0.07,0.05,0.05,0.04,0.15,0.03,0.02,0.11,0.02,0.13,0.0,0.13,0.03,0.16,0.07,0.0,0.0,0.09,0.12
kftpgrabber.csv,0.01,0.41,0.02,0.12,0.21,0.55,0.04,0.15,0.11,0.28,0.29,0.0,0.29,0.21,0.35,0.36,0.15,0.09,0.44,0.8
kvs.csv,0.28,0.34,0.29,0.3,0.07,0.29,0.2,0.34,0.11,0.17,0.33,0.21,0.06,0.37,0.87,0.29,0.35,0.16,0.8,0.39
mcore3d.csv,0.01,0.37,0.05,0.21,0.42,0.29,0.72,0.18,0.89,0.28,0.49,0.04,0.26,0.32,0.68,0.21,0.21,0.23,0.71,0.16
miranda.csv,0.0,0.0,0.19,0.16,0.19,0.0,0.64,0.22,0.44,0.45,0.0,0.42,0.26,1.0,0.06,0.36,0.5,0.59,0.44,0.44
modplug.csv,0.91,0.78,1.0,0.78,0.88,0.9,0.68,0.82,0.89,0.82,0.78,0.12,0.92,0.95,0.85,0.86,0.84,0.89,0.98,0.98
monetdb.csv,0.43,0.44,0.02,0.21,0.26,0.13,0.08,0.06,0.0,0.25,0.36,0.04,0.34,0.16,0.11,0.07,0.22,0.27,0.11,0.38
netatalk.csv,0.15,0.17,0.88,0.29,0.3,0.37,0.82,0.61,0.78,0.74,0.53,0.75,0.55,0.26,0.74,0.57,0.48,0.39,0.82,0.65
ogrehg.csv,0.1,0.24,0.29,0.26,0.53,0.49,0.26,0.27,0.33,0.42,0.44,0.54,0.4,0.16,0.6,0.36,0.09,0.2,0.69,0.7
passwordsafe.csv,0.45,0.41,0.95,0.54,0.72,0.45,0.54,0.57,0.33,0.51,0.58,0.25,0.85,0.74,0.82,0.71,0.19,0.39,0.6,0.75
projecteqemu.csv,0.56,0.17,0.48,0.15,0.25,0.56,0.03,0.23,0.33,0.33,0.31,0.17,0.24,0.74,0.47,0.36,0.11,0.09,0.8,0.68
reactos-mirror.csv,0.25,0.46,0.93,0.45,0.63,0.42,0.53,0.65,0.44,0.45,0.49,0.42,0.56,1.0,0.6,0.64,0.37,0.55,0.71,0.99
xbplayer.csv,0.23,0.27,0.1,0.28,0.19,0.25,0.01,0.16,0.22,0.11,0.2,0.58,0.47,0.32,0.35,0.14,0.09,0.11,0.49,0.53
xmoto.csv,0.51,0.02,0.4,0.28,0.28,0.31,0.55,0.27,0.44,0.47,0.07,0.08,0.27,1.0,0.44,0.36,0.2,0.27,0.38,0.27
