,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.57,0.55,0.53,0.44,0.69,0.32,0.96,0.46,0.61,0.56,0.89,0.93,0.95
emono.csv,0.44,0.44,0.59,0.42,0.53,0.38,0.53,0.31,0.47,0.48,0.5,0.42,0.57
freedom-erp.csv,0.9,0.6,0.74,0.89,0.5,0.0,0.89,0.36,0.67,0.57,0.9,0.92,0.95
haggle.csv,0.54,0.74,0.57,0.92,0.5,0.92,0.64,0.0,0.86,0.82,0.78,0.83,0.92
jbpm.csv,0.75,0.76,0.75,0.75,0.91,0.0,0.67,0.96,0.0,0.73,0.0,0.0,0.0
jgossipforum.csv,0.45,0.84,0.76,0.47,0.46,0.62,0.82,0.83,0.95,0.8,0.42,0.35,0.52
joustsim.csv,0.47,0.51,0.53,0.39,0.48,0.86,0.49,0.81,0.62,0.61,0.44,0.38,0.48
log4net.csv,0.43,0.78,0.94,0.79,0.89,0.4,0.97,0.7,0.5,0.36,0.65,0.75,0.77
madman.csv,0.45,0.7,0.71,0.76,0.56,0.92,0.69,0.83,0.69,0.89,0.44,0.5,0.63
mediate.csv,0.43,0.63,0.72,0.61,0.51,0.46,0.7,0.97,0.58,0.61,0.88,0.5,0.82
pustefix.csv,0.89,0.7,0.61,0.6,0.96,0.75,0.62,0.92,0.8,0.67,0.52,0.79,0.86
synecdoche.csv,0.58,0.46,0.45,0.49,0.94,0.49,0.56,0.31,0.56,0.47,0.4,0.53,0.43
tmva.csv,0.4,0.4,0.44,0.52,0.45,0.32,0.51,0.31,0.46,0.48,0.42,0.8,0.62
