,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.43,0.5,0.26,0.34,0.53,0.62,0.27,0.51,0.55,0.41,0.96,0.15
archive-crawler.csv,0.62,0.37,0.48,0.14,0.58,0.61,0.58,0.49,0.37,1.0,0.17,0.42
blue-c.csv,0.6,0.62,0.69,0.28,0.69,0.92,0.56,0.6,0.64,0.45,0.64,0.52
dynalloy.csv,0.69,0.97,0.0,0.35,0.63,0.29,0.46,0.29,0.57,0.27,0.72,0.49
jcae.csv,0.32,0.05,1.0,0.0,0.0,0.27,0.22,0.06,0.1,0.3,0.12,0.0
kmatplot.csv,0.98,0.25,0.26,0.63,0.23,0.34,0.25,0.09,0.37,0.34,0.17,0.51
mscore.csv,0.62,0.54,0.71,0.28,0.53,0.64,0.98,0.6,0.67,0.58,0.48,0.68
nosleepsoftware.csv,0.5,0.1,0.83,0.9,0.35,0.2,0.58,0.23,0.26,0.38,0.45,0.57
openmalaria.csv,0.73,0.52,0.59,0.68,0.61,0.57,0.67,0.94,0.47,0.59,0.53,0.59
popeye-chess.csv,0.39,0.46,0.6,0.07,0.93,0.69,0.5,0.62,0.49,0.62,0.49,0.65
riff-evolve.csv,0.71,0.41,0.69,0.59,0.62,0.63,0.57,0.5,0.96,0.46,0.68,0.62
virtuoso.csv,0.24,0.27,0.43,0.09,0.55,0.0,0.33,0.24,0.09,0.45,0.69,0.9
