,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.72,0.67,0.8,0.82,0.62,0.71,0.8,0.76,0.74,0.77,0.05,0.88
archive-crawler.csv,0.48,0.7,0.61,0.97,0.5,0.46,0.61,0.6,0.71,0.0,0.87,0.66
blue-c.csv,0.73,0.55,0.4,0.84,0.65,0.1,0.52,0.56,0.6,0.7,0.47,0.72
dynalloy.csv,0.49,0.04,1.0,0.98,0.73,0.93,0.85,0.94,0.55,0.93,0.47,0.83
jcae.csv,0.73,0.96,0.0,1.0,1.0,0.77,0.82,0.95,0.92,0.75,0.91,1.0
kmatplot.csv,0.03,0.83,0.81,0.51,0.93,0.72,0.81,0.93,0.7,0.72,0.86,0.66
mscore.csv,0.6,0.65,0.62,0.86,0.54,0.43,0.02,0.5,0.49,0.64,0.84,0.61
nosleepsoftware.csv,0.58,0.96,0.51,0.12,0.71,0.94,0.51,0.82,0.78,0.77,0.72,0.58
openmalaria.csv,0.56,0.75,0.78,0.48,0.45,0.51,0.57,0.07,0.75,0.68,0.81,0.69
popeye-chess.csv,0.91,0.68,0.47,1.03,0.09,0.41,0.58,0.56,0.65,0.73,0.83,0.53
riff-evolve.csv,0.5,0.73,0.64,0.5,0.44,0.47,0.53,0.56,0.06,0.8,0.58,0.63
virtuoso.csv,0.94,0.94,0.87,0.98,0.52,1.0,0.91,0.94,0.98,0.86,0.67,0.12
