,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.92,1.0,0.59,0.8,0.9,0.88,0.57,1.0,0.81,0.76,0.89,0.85,0.85,0.95,0.8
aufs.csv,0.35,0.42,0.0,0.86,0.13,0.56,0.76,0.13,0.51,0.33,0.77,0.59,0.18,0.45,0.12
bulmages.csv,0.0,0.21,0.07,0.82,0.36,0.12,0.1,0.03,0.0,0.71,0.62,0.03,0.7,0.12,0.0
coot.csv,0.03,0.26,0.52,1.0,0.62,0.5,0.61,0.37,0.27,0.52,0.7,0.64,0.7,0.54,0.5
emono.csv,0.7,0.81,0.52,0.84,0.64,0.94,0.82,0.66,1.0,0.95,0.92,0.92,0.85,0.85,0.74
extprosys.csv,0.97,0.62,0.96,0.23,0.85,0.38,0.84,0.55,0.05,0.57,0.66,0.56,0.22,0.73,0.44
freelords.csv,0.86,0.43,1.0,0.64,0.92,0.81,0.68,0.68,0.65,0.62,0.79,0.33,0.82,0.53,0.56
jnode.csv,0.22,0.06,0.07,0.32,0.03,0.75,0.08,0.21,0.0,0.29,0.0,0.03,0.65,0.04,0.04
jruby.csv,0.78,0.06,0.37,0.64,0.33,0.5,0.19,0.42,1.0,0.71,0.4,0.95,0.02,0.7,0.14
jsecurity.csv,0.22,0.26,0.11,0.05,0.72,0.81,0.22,0.13,0.16,0.14,0.29,0.13,0.62,0.33,0.48
matrex.csv,0.43,0.08,0.11,0.55,0.05,0.19,0.04,0.42,0.16,0.0,0.82,0.21,0.08,0.14,0.16
officefloor.csv,0.57,0.08,0.19,0.07,0.18,0.62,0.13,0.66,0.41,0.1,0.45,0.36,0.32,0.4,0.22
projectfactory.csv,0.57,0.08,0.52,0.09,0.26,0.5,0.37,0.32,0.57,0.24,0.21,0.59,0.18,0.36,0.45
taverna.csv,0.35,0.09,0.74,0.05,0.18,0.38,0.13,0.11,0.08,0.24,0.12,0.51,0.62,0.08,0.32
vxl.csv,0.43,0.72,0.33,0.45,0.74,0.19,0.41,0.82,1.0,0.62,0.86,0.36,0.2,0.64,0.42
